ea_id,com_cg35a,com_cg35b,com_cg35c,com_cg35c_oth,com_cg36,com_cg37
10101100,D,Impassable road because of the bridge,OTHER GOOD (SPECIFY),MOVEMENT OF PEOPLE WAS HARD,2018,ALMOST ALL
10101100,C,drought,DROUGHT,,2017,3/4
10101100,D,,,,,
10101100,A,Construction of the bridge,,,,
10101100,B,Stalkbores,DROUGHT,,2017,3/4
10101100,A,Heavy winds,OTHER GOOD (SPECIFY),HOUSE BROWN OFF,2019,1/4
10101100,C,,,,,
10101100,,Events that made people better off,,,,
10101100,B,Feeding programme to the school,,,,
10101100,,Events that made people worse off,,,,
10101101,C,,,,,
10101101,,Events that made people worse off,,,,
10101101,B,GOOD MARKETING,,,,
10101101,,Events that made people better off,,,,
10101101,B,HEAVY RAINS AND WINDS,FLOOD,,2017,1/2
10101101,A,BUMPER YIELD,,,,
10101101,D,,,,,
10101101,D,ARMY WORMS,CROP DISEASE/PESTS,,2020,1/2
10101101,C,ANIMAL DISEASEs,LIVESTOCK DISEASE,,2019,3/4
10101101,A,Drought,DROUGHT,,2019,3/4
10101102,D,,,,,
10101102,B,foot and mouth disease to animals,LIVESTOCK DISEASE,,2018,3/4
10101102,B,,,,,
10101102,A,Pest to crops,DROUGHT,,2017,3/4
10101102,C,,,,,
10101102,C,,,,,
10101102,D,,,,,
10101102,,Events that made people better off,,,,
10101102,,Events that made people worse off,,,,
10101102,A,Piped WATER,,,,
10101103,D,,,,,
10101103,C,,,,,
10101103,,Events that made people better off,,,,
10101103,A,PUMPER YIELD,,,,
10101103,,Events that made people worse off,,,,
10101103,D,,,,,
10101103,A,BAD MARKETING,SHARP CHANGE IN PRICES,,2018,3/4
10101103,C,,,,,
10101103,B,PESTS ATTACKED CROPS,CROP DISEASE/PESTS,,2018,3/4
10101103,B,GOOD MARKET,,,,
10101104,B,new clinic,,,,
10101104,C,,,,,
10101104,,Events that made people better off,,,,
10101104,B,flooding,FLOOD,,2018,1/4
10101104,A,construction of new road,,,,
10101104,D,,,,,
10101104,A,Maize stock,DROUGHT,,2018,3/4
10101104,C,shallow wells,,,,
10101104,,Events that made people worse off,,,,
10101104,D,,,,,
10101105,D,,,,,
10101105,C,ANIMAL DISEASES,LIVESTOCK DISEASE,,2019,3/4
10101105,D,,,,,
10101105,A,HEAVY RAINS AND Strong WINDS,DROUGHT,,2020,1/4
10101105,B,ARMY WORMS,CROP DISEASE/PESTS,,2018,3/4
10101105,,Events that made people worse off,,,,
10101105,B,GOOD MARKEING OF MAIZE,,,,
10101105,A,BUMPER YIELD,,,,
10101105,C,,,,,
10101105,,Events that made people better off,,,,
10101106,B,Attacked by insectside,CROP DISEASE/PESTS,,2018,3/4
10101106,C,The coming in of ADMARC,,,,
10101106,A,Social Cash transfer,,,,
10101106,A,drought,OTHER GOOD (SPECIFY),BROUGHT HUNGER,2018,3/4
10101106,D,,,,,
10101106,D,,,,,
10101106,,Events that made people better off,,,,
10101106,B,Renovation of Clinic,,,,
10101106,,Events that made people worse off,,,,
10101106,C,High cost fertilize and seed,SHARP CHANGE IN PRICES,,2018,3/4
10102107,A,Bumper yield,,,,
10102107,D,,,,,
10102107,C,,,,,
10102107,A,HAIL WIND,OTHER GOOD (SPECIFY),BUILDINGS WERE BROWN OFF,2019,1/4
10102107,C,FEW RAINS,DROUGHT,,2019,1/2
10102107,B,FLOODING,DROUGHT,,2018,1/2
10102107,D,Bad market,OTHER GOOD (SPECIFY),DESCRIBE OF THE HOUSEHOLD INCOME,2019,3/4
10102107,B,,,,,
10102107,,Events that made people worse off,,,,
10102107,,Events that made people better off,,,,
10102108,C,,,,,
10102108,A,Drought,OTHER GOOD (SPECIFY),LOW YIELD,2019,3/4
10102108,B,,,,,
10102108,B,Animal diseases,OTHER GOOD (SPECIFY),DEATH OF ANIMALS AND A DECREASE IN COME,2018,1/4
10102108,D,,,,,
10102108,C,,,,,
10102108,,Events that made people better off,,,,
10102108,D,,,,,
10102108,,Events that made people worse off,,,,
10102108,A,Good markets of legumes,,,,
10102109,A,DROUGHT,DROUGHT,,2020,3/4
10102109,D,,,,,
10102109,,Events that made people better off,,,,
10102109,A,BUMPER HARVEST,,,,
10102109,C,,,,,
10102109,D,,,,,
10102109,B,,,,,
10102109,B,PESTS,CROP DISEASE/PESTS,,2019,3/4
10102109,,Events that made people worse off,,,,
10102109,C,,,,,
10102110,A,Additional building on the clinic,,,,
10102110,C,storm wind,LOSS OF KEY SOCIAL SERVICE(S),,2018,1/4
10102110,C,,,,,
10102110,B,,,,,
10102110,A,drought,OTHER GOOD (SPECIFY),LOW YIELD,2017,3/4
10102110,D,flooding,OTHER GOOD (SPECIFY),CROPS WERE WASHED AWAY,2018,1/2
10102110,B,Stalkboers,OTHER GOOD (SPECIFY),LOW YIELD,2017,3/4
10102110,,Events that made people worse off,,,,
10102110,,Events that made people better off,,,,
10102110,D,,,,,
10103111,A,CONSTRUCTION OF PERMANENT BRIDGE,,,,
10103111,,Events that made people better off,,,,
10103111,C,,,,,
10103111,B,EARTHQUAKE,OTHER GOOD (SPECIFY),HOUSES WERE DESTOYED,2018,1/2
10103111,,Events that made people worse off,,,,
10103111,B,CONSTUCTION OF THE SCHOOL BLOCK,,,,
10103111,C,HEAVY RAINS,DROUGHT,,2018,ALMOST ALL
10103111,D,,,,,
10103111,A,ANIMAL DISEASES,LIVESTOCK DISEASE,,2019,ALMOST ALL
10103111,D,,,,,
10103112,D,Electicity,,,,
10103112,,Events that made people worse off,,,,
10103112,C,THE COMING IN OF Waterboard,,,,
10103112,A,ANIMAL DISEASES,OTHER GOOD (SPECIFY),POVERTY,2018,ALMOST ALL
10103112,B,STALK BORERS,OTHER GOOD (SPECIFY),FAMINE,2017,3/4
10103112,A,GOOD  RAINS,,,,
10103112,C,HAIL WINDS,OTHER GOOD (SPECIFY),HOUSES WERE BROWN OFF,2018,1/4
10103112,,Events that made people better off,,,,
10103112,D,,,,,
10103112,B,GRADING OF KAPOKA MISUKU ROAD,,,,
10103113,B,DROUGHT,DROUGHT,,2019,3/4
10103113,C,,,,,
10103113,D,,,,,
10103113,B,,,,,
10103113,A,HEAVY RAINS,OTHER GOOD (SPECIFY),HOUSES WERE BROUGHT DOWN,2017,1/4
10103113,,Events that made people better off,,,,
10103113,,Events that made people worse off,,,,
10103113,A,BUMPER YIELD,,,,
10103113,D,,,,,
10103113,C,,,,,
10105114,,Events that made people better off,,,,
10105114,A,Boreholes to the community,,,,
