ea_id,com_cf01,com_cf02,com_cf03,com_cf03_1,com_cf03_2,com_cf07,com_cf08a,com_cf08b,com_cf09,com_cf10,com_cf11,com_cf12,com_cf13,com_cf17a,com_cf17b,com_cf17c,com_cf18a,com_cf18b,com_cf19a,com_cf19b,com_cf20a,com_cf20b,com_cf22,com_cf23,com_cf24,com_cf25,com_cf26,com_cf27,com_cf28
10101100,YES,1ST HALF DEC,2ND HALF MAY,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,NO,,0,0,NO,YES,YES,NO,2,ACRE,.5,ACRE,7,ACRE,5,200,200,0,200,280,NO
10101101,YES,2ND HALF NOV,2ND HALF MAY,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,6,KM,NO,,0,0,NO,YES,NO,NO,4,ACRE,2,ACRE,10,ACRE,0,0,50,0,60,220,YES
10101102,YES,1ST HALF OCT,1ST HALF MAY,NONE,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,NO,,0,0,NO,YES,YES,YES,2.5,ACRE,.5,ACRE,3,ACRE,0,1322,0,0,0,1322,NO
10101103,YES,1ST HALF NOV,1ST HALF MAY,<=3/4,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,NO,,6,2,NO,YES,NO,YES,2,HECTARE,.5,ACRE,6,HECTARE,2,0,135,0,0,100,YES
10101104,YES,1ST HALF DEC,2ND HALF JUN,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,28,KM,NO,,0,0,NO,NO,NO,NO,1,HECTARE,1,ACRE,6,ACRE,0,198,0,0,100,198,NO
10101105,YES,1ST HALF NOV,1ST HALF MAY,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,NO,,0,0,NO,NO,YES,NO,4,ACRE,1,ACRE,12,ACRE,0,0,0,0,0,150,NO
10101106,YES,1ST HALF DEC,2ND HALF JUN,NONE,"ANIMALS GRAZE FREELY, BUT FARMERS MAY FENCE",NO,26,KM,YES,202,2,2,NO,NO,NO,NO,5,ACRE,2,ACRE,15,ACRE,200,1400,750,0,350,800,YES
10102107,YES,1ST HALF DEC,2ND HALF JUN,NONE,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,NO,,3,2,NO,NO,NO,NO,2.5,ACRE,1,ACRE,5,ACRE,3,5,150,0,0,250,YES
10102108,YES,1ST HALF DEC,1ST HALF JUN,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,5,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,1.5,ACRE,5,ACRE,190,20,20,0,200,210,NO
10102109,YES,1ST HALF DEC,1ST HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,5,KM,NO,,0,0,NO,NO,NO,NO,3,ACRE,1,.a,6,ACRE,0,0,5,0,2,210,YES
10102110,YES,1ST HALF DEC,2ND HALF MAY,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,16,KM,YES,3,0,0,NO,NO,NO,NO,2,ACRE,.5,ACRE,4,ACRE,15,520,13,0,30,390,YES
10103111,YES,2ND HALF NOV,1ST HALF MAY,NONE,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,NO,,0,0,NO,NO,NO,NO,1,ACRE,.25,ACRE,5,ACRE,0,50,181,100,78,181,YES
10103112,YES,1ST HALF DEC,2ND HALF JUN,ALL,"ANIMALSGRAZEFREELY, NO FENCING",NO,23,KM,NO,,3,3,NO,YES,YES,NO,2,ACRE,.5,ACRE,4,ACRE,3,20,20,0,4,180,YES
10103113,YES,1ST HALF DEC,2ND HALF APR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,7,KM,NO,,0,0,NO,NO,NO,YES,2,ACRE,2,ACRE,5,ACRE,0,0,0,25,2,50,NO
10105114,YES,1ST HALF DEC,2ND HALF JUN,<=3/4,"ANIMALS GRAZE FREELY, BUT FARMERS MAY FENCE",NO,7,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,.5,ACRE,3,ACRE,0,1000,0,0,5,1000,YES
10105115,YES,2ND HALF NOV,2ND HALF JUN,NONE,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,YES,95,2,3,NO,YES,NO,NO,2,ACRE,.25,ACRE,4,ACRE,10,5,0,0,20,140,YES
10106116,YES,2ND HALF DEC,2ND HALF MAY,NONE,"ANIMALS GRAZE FREELY, BUT FARMERS MAY FENCE",NO,10,KM,NO,,0,0,NO,NO,NO,NO,3,ACRE,1,ACRE,5,ACRE,10,200,10,0,0,270,NO
10106117,YES,2ND HALF NOV,2ND HALF JUN,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,2,KM,NO,,3,3,NO,NO,NO,NO,.75,ACRE,.25,ACRE,2,ACRE,0,0,0,0,0,150,YES
10107118,YES,1ST HALF DEC,1ST HALF JUN,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,10,KM,NO,,2,2,NO,NO,NO,NO,3,ACRE,1.5,ACRE,23,ACRE,0,125,62,0,0,125,NO
10109119,YES,1ST HALF DEC,2ND HALF JUN,ALL,"ANIMALSGRAZEFREELY, NO FENCING",NO,34,KM,NO,,0,4,NO,NO,NO,NO,2,ACRE,.5,ACRE,6,ACRE,0,0,65,0,0,137,NO
10109120,YES,2ND HALF NOV,2ND HALF MAY,NONE,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,YES,60,0,0,NO,NO,NO,NO,2,ACRE,.5,ACRE,7,ACRE,5,3,200,0,2,170,YES
10109121,YES,1ST HALF DEC,1ST HALF JUN,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,18,KM,NO,,0,0,NO,NO,YES,NO,3,ACRE,1.5,ACRE,5,ACRE,0,0,0,0,0,80,YES
10120122,YES,1ST HALF NOV,2ND HALF MAY,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,1,KM,NO,,0,0,NO,YES,YES,NO,1.5,ACRE,200,SQ METER,5,ACRE,5,672,0,0,8,450,YES
10120123,YES,1ST HALF JAN,2ND HALF JUN,ALL,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,NO,,0,0,NO,YES,YES,"YES,BUT NOT IF HH IS IN NEED",100,SQ METER,50,SQ METER,800,SQ METER,0,0,0,0,0,140,NO
10201124,YES,1ST HALF DEC,1ST HALF APR,NONE,ANIMALS ONLY GRAZE ON OWNER'S FIELDS (NO OPEN GRAZING),NO,4,KM,NO,,0,0,NO,YES,NO,NO,.5,ACRE,.25,ACRE,7,ACRE,0,0,260,0,0,0,NO
10201125,YES,2ND HALF DEC,2ND HALF MAR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,32,KM,NO,,0,0,YES,NO,NO,NO,2,ACRE,.01,ACRE,5,ACRE,6,0,150,0,2,31,YES
10201126,YES,2ND HALF JAN,2ND HALF MAY,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,10,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,.5,ACRE,5,ACRE,0,320,640,20,0,320,NO
10201127,YES,2ND HALF DEC,2ND HALF APR,ALL,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,YES,20,2,2,NO,NO,NO,NO,1,ACRE,.5,ACRE,2,ACRE,1,0,150,0,0,0,YES
10201128,YES,2ND HALF DEC,1ST HALF APR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,5,KM,NO,,0,0,NO,YES,NO,NO,2,ACRE,.5,ACRE,3,ACRE,0,767,0,0,0,0,NO
10202129,YES,2ND HALF NOV,2ND HALF MAR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,2,KM,NO,,0,0,YES,YES,NO,NO,1.5,ACRE,.2,ACRE,4,ACRE,1,0,195,0,0,195,YES
10203130,YES,1ST HALF DEC,1ST HALF MAY,ALL,"ANIMALSGRAZEFREELY, NO FENCING",NO,5,KM,NO,,0,0,NO,NO,NO,NO,3,ACRE,2,ACRE,7,ACRE,0,240,0,0,10,120,NO
10203131,YES,1ST HALF JAN,1ST HALF APR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,YES,20,0,0,YES,NO,NO,NO,1,HECTARE,.25,ACRE,5,ACRE,125,2,255,0,1,60,NO
10203132,YES,1ST HALF DEC,2ND HALF APR,ALL,"ANIMALSGRAZEFREELY, NO FENCING",NO,2,KM,NO,,0,0,NO,YES,NO,NO,1,ACRE,.5,ACRE,10,ACRE,50,0,170,0,0,50,NO
10203133,YES,1ST HALF DEC,2ND HALF APR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,7,KM,NO,,0,0,YES,YES,YES,YES,2,ACRE,.75,ACRE,8,ACRE,70,0,132,0,0,110,NO
10203134,YES,2ND HALF DEC,1ST HALF MAY,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,5,KM,NO,,0,0,NO,YES,NO,NO,2,ACRE,1,ACRE,5,ACRE,100,334,0,0,0,34,YES
10203135,YES,1ST HALF DEC,2ND HALF MAY,ALL,"ANIMALSGRAZEFREELY, NO FENCING",NO,3,KM,YES,65,0,0,NO,NO,NO,NO,3,ACRE,1,ACRE,10,ACRE,40,40,40,0,10,15,YES
10204136,YES,1ST HALF DEC,2ND HALF APR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,10,KM,NO,,0,0,NO,YES,YES,NO,1,ACRE,.25,ACRE,12,ACRE,2,7,0,0,15,15,NO
10204137,YES,1ST HALF DEC,2ND HALF APR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,YES,120,0,0,NO,YES,YES,YES,2,HECTARE,.5,ACRE,5,ACRE,0,5,100,0,0,100,NO
10204138,YES,2ND HALF DEC,2ND HALF APR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,2,KM,YES,55,0,0,NO,NO,NO,NO,1.5,ACRE,.25,ACRE,4,ACRE,8,1084,8,0,0,50,NO
10204139,YES,2ND HALF DEC,2ND HALF MAY,<=3/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,3,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,.5,ACRE,7,ACRE,0,0,0,0,7,10,YES
10204140,YES,1ST HALF JAN,2ND HALF APR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,NO,,2,2,NO,YES,YES,YES,1600,SQ METER,750,SQ METER,4900,SQ METER,0,0,0,0,0,0,NO
10205141,YES,2ND HALF DEC,1ST HALF MAY,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,4,METER,NO,,0,0,NO,YES,NO,NO,2,ACRE,.5,ACRE,7,ACRE,6,5,0,0,0,35,YES
10205142,YES,1ST HALF DEC,2ND HALF APR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,YES,1200,0,1,NO,NO,NO,NO,2,ACRE,.25,ACRE,4,ACRE,2,2000,1,0,0,10,YES
10220143,YES,1ST HALF DEC,2ND HALF APR,NONE,ANIMALS ONLY GRAZE ON OWNER'S FIELDS (NO OPEN GRAZING),NO,2,KM,NO,,0,0,NO,NO,NO,NO,.25,ACRE,.01,ACRE,2,ACRE,0,5,15,0,0,0,NO
10220144,YES,2ND HALF DEC,2ND HALF APR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,1,KM,NO,,0,0,NO,YES,YES,NO,200,SQ METER,100,SQ METER,600,SQ METER,0,0,0,0,0,30,NO
10220145,YES,2ND HALF DEC,2ND HALF MAY,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,3,KM,NO,,0,0,NO,NO,YES,NO,1,ACRE,500,SQ METER,3,HECTARE,0,0,10,0,0,10,YES
10220146,YES,2ND HALF DEC,2ND HALF MAY,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,7,KM,NO,,0,0,NO,NO,NO,NO,2500,SQ METER,1,ACRE,3,ACRE,0,857,0,0,0,600,NO
10220147,YES,1ST HALF DEC,2ND HALF APR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,6,KM,NO,,0,0,NO,YES,NO,NO,1,ACRE,.15,ACRE,4,ACRE,0,0,100,0,2,170,NO
10301148,YES,1ST HALF DEC,2ND HALF MAY,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,25,KM,NO,,0,0,NO,NO,NO,NO,3,HECTARE,1,HECTARE,8,HECTARE,0,2,0,0,0,150,NO
10301149,YES,1ST HALF NOV,2ND HALF MAR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,15,KM,NO,,0,0,NO,NO,NO,NO,5,ACRE,1,ACRE,10,ACRE,0,0,0,0,0,0,NO
10301150,YES,2ND HALF NOV,1ST HALF JUN,NONE,ANIMALS ONLY GRAZE ON OWNER'S FIELDS (NO OPEN GRAZING),YES,,,NO,,0,0,NO,NO,NO,NO,6,ACRE,2,ACRE,8,ACRE,0,4,0,0,0,100,YES
10301151,YES,1ST HALF DEC,2ND HALF JUN,ALL,"ANIMALSGRAZEFREELY, NO FENCING",NO,45,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,1,ACRE,2,ACRE,0,0,0,0,0,1,NO
10302152,YES,1ST HALF DEC,1ST HALF MAY,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,3,KM,NO,,0,0,NO,NO,NO,NO,.5,ACRE,.75,ACRE,7,ACRE,0,0,0,0,0,0,NO
10303153,YES,1ST HALF DEC,2ND HALF MAR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,3,KM,YES,70,0,0,NO,NO,NO,NO,3,ACRE,1.5,ACRE,5,ACRE,3,0,0,0,0,0,NO
10304154,YES,1ST HALF NOV,2ND HALF MAR,NONE,"ANIMALS GRAZE FREELY, BUT FARMERS MAY FENCE",YES,,,YES,40,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,7,ACRE,300,50,100,400,0,500,NO
10304155,YES,2ND HALF NOV,2ND HALF MAR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,NO,,3,3,NO,NO,NO,NO,2,ACRE,1,ACRE,9,ACRE,0,0,0,0,0,0,NO
