case_id,HHID,gardenid,ag_i202,ag_i203_1a,ag_i203_1b,ag_i203_2,ag_i204_9,ag_i205,ag_i206,ag_i208a,ag_i208a_oth,ag_i208b,ag_i208c,ag_i208c_oth,ag_i208d,ag_i209a,ag_i209b,ag_i212,ag_i212_oth,ag_i213a,ag_i213b,ag_i213_1a,ag_i213_1b,ag_i214,ag_i214_oth,ag_i216a,ag_i216a_oth,ag_i216b,ag_i216c,ag_i216c_oth,ag_i216d,ag_i217a,ag_i217b,ag_i_2_20,ag_i_2_20Oth
303025340165,005061e197a949a599ddf701880f2f99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207053960007,005578fb551042d89938f618ffadd412,DG03,2,1,,1983,NO,300000,15000,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,,,
307106340208,007a1f8fd14e47cb98190b0bb33e5277,DG03,2,,,,,,,,,,,,,30000,30000,Other (Specify),DIMBA SEASON,1,.a,1,2,Cultivated,,,,,,,,,,,
313027590157,008cf8f470064bb2901827f91e0639b2,DG03,1,1,,2004,NO,30000,5000,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,,,
207074000294,009fd63d7ca544fa86e07f95781eb567,DG05,1,,,2018,NO,20000,0,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,,,
207023880317,00d91bf747164e848958d711bcca04fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206043580122,011aff388e5f4efcbc0b80238ca697cd,DG04,1,,,2015,NO,150000,8000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
101011010055,018388a980ac4a1e95269d79f85b0e7c,DG05,1,,,,NO,450000,45000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
101011010055,018388a980ac4a1e95269d79f85b0e7c,DG04,1,,,,NO,450000,45000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
308076630094,018c49cda7fc485cab1f0e44ac25f55a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203042940075,018f4cec68af499ab64667a73e477b22,DG03,1,,,,,,,,,,,,,10000,0,Full Year (Rainy &amp; Dimba Seasons),,4,.a,1,4,Cultivated,,,,,,,,,,,
