case_id,HHID,Id,ag_nr02,ag_nr02_oth,ag_nr03
101011000014,7d78f2c5da59436d9bde9b09ea8a8aaf,1,RELATIVE,,DEAD
101011000014,7d78f2c5da59436d9bde9b09ea8a8aaf,2,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011000014,7d78f2c5da59436d9bde9b09ea8a8aaf,3,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011000023,7144cc6d29b3485d9e6d6188b255c756,1,RELATIVE,,WITHIN THE VILLAGE
101011000023,7144cc6d29b3485d9e6d6188b255c756,2,GOVERNMENT AGENCY,,IN/NEAR THE TOWN
101011000023,7144cc6d29b3485d9e6d6188b255c756,3,PRIVATE COMPANY/BUSINESS PERSON,,IN/NEAR THE TOWN
101011000023,7144cc6d29b3485d9e6d6188b255c756,4,LOCAL MARKET,,NEAR THE VILLAGE
101011000040,9936d103bf974a93afbc63d477b8b3f2,1,RELATIVE,,IN/NEAR THE TOWN
101011000040,9936d103bf974a93afbc63d477b8b3f2,2,FRIEND/NEIGHBOR,,IN/NEAR THE TOWN
101011000040,9936d103bf974a93afbc63d477b8b3f2,3,RELATIVE,,WITHIN THE VILLAGE
101011000040,9936d103bf974a93afbc63d477b8b3f2,4,LOCAL MARKET,,NEAR THE VILLAGE
101011000071,cc8f211413cd493e83e01a96aba95bbb,1,RELATIVE,,DEAD
101011000071,cc8f211413cd493e83e01a96aba95bbb,2,VILLAGE HEADMAN,,WITHIN THE VILLAGE
101011000071,cc8f211413cd493e83e01a96aba95bbb,3,PRIVATE COMPANY/BUSINESS PERSON,,IN/NEAR THE TOWN
101011000071,cc8f211413cd493e83e01a96aba95bbb,4,MOBILE MARKET,,WITHIN THE VILLAGE
101011000095,e50cfa8d11b44d56891e0fad015b07c7,1,RELATIVE,,DEAD
101011000095,e50cfa8d11b44d56891e0fad015b07c7,2,LOCAL MARKET,,WITHIN THE VILLAGE
101011000115,4c60971913ca49b4beb6def01a0b133f,1,RELATIVE,,WITHIN THE VILLAGE
101011000115,4c60971913ca49b4beb6def01a0b133f,2,LOCAL MARKET,,WITHIN THE VILLAGE
101011000126,2fcb31f5f05349fca327dd2fa965b43a,1,RELATIVE,,WITHIN THE VILLAGE
101011000126,2fcb31f5f05349fca327dd2fa965b43a,2,MOBILE MARKET,,IN/NEAR THE TOWN
101011000135,e676d3715e4340b4a4185fca13f23fba,1,RELATIVE,,WITHIN THE VILLAGE
101011000135,e676d3715e4340b4a4185fca13f23fba,2,PRIVATE COMPANY/BUSINESS PERSON,,IN/NEAR THE TOWN
101011000135,e676d3715e4340b4a4185fca13f23fba,3,LOCAL MARKET,,WITHIN THE VILLAGE
101011000183,fd4b0adb712045789c7725af9d50301d,1,RELATIVE,,IN/NEAR THE DISTRICT/URBAN CENTER
101011000183,fd4b0adb712045789c7725af9d50301d,2,RELATIVE,,NEAR THE VILLAGE
101011000183,fd4b0adb712045789c7725af9d50301d,3,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
101011000183,fd4b0adb712045789c7725af9d50301d,4,MAIN MARKET,,IN/NEAR THE TOWN
101011000183,fd4b0adb712045789c7725af9d50301d,5,PRIVATE COMPANY/BUSINESS PERSON,,IN/NEAR THE TOWN
101011000183,fd4b0adb712045789c7725af9d50301d,6,LOCAL MARKET,,NEAR THE VILLAGE
101011000183,fd4b0adb712045789c7725af9d50301d,7,MOBILE MARKET,,OUTSIDE THE DISTRICT
101011000190,cc43ef9ad8aa45c28c6b1ec1daf1effc,1,RELATIVE,,DEAD
101011000190,cc43ef9ad8aa45c28c6b1ec1daf1effc,2,LOCAL MARKET,,IN/NEAR THE TOWN
101011000190,cc43ef9ad8aa45c28c6b1ec1daf1effc,3,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011000199,09aa9c15d78e449ea768d2b546d7630f,1,RELATIVE,,DEAD
101011000229,588862e09b294c19806cb1cea206b93f,1,RELATIVE,,OUTSIDE THE REGION
101011000229,588862e09b294c19806cb1cea206b93f,2,RELATIVE,,WITHIN THE VILLAGE
101011000229,588862e09b294c19806cb1cea206b93f,3,RELATIVE,,DEAD
101011000229,588862e09b294c19806cb1cea206b93f,4,RELATIVE,,WITHIN THE VILLAGE
101011000229,588862e09b294c19806cb1cea206b93f,5,AGRICULTURAL COOPERATIVE,,IN/NEAR THE DISTRICT/URBAN CENTER
101011000229,588862e09b294c19806cb1cea206b93f,6,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011000229,588862e09b294c19806cb1cea206b93f,7,MAIN MARKET,,IN/NEAR THE DISTRICT/URBAN CENTER
101011000253,18895b09d1aa4f2fb29731eff2be86f6,1,RELATIVE,,DEAD
101011000253,18895b09d1aa4f2fb29731eff2be86f6,2,MAIN MARKET,,IN/NEAR THE TOWN
101011000253,18895b09d1aa4f2fb29731eff2be86f6,3,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011000254,9d7546eefc334970b492a20ce6887403,1,RELATIVE,,WITHIN THE VILLAGE
101011000254,9d7546eefc334970b492a20ce6887403,2,MAIN MARKET,,IN/NEAR THE DISTRICT/URBAN CENTER
101011000254,9d7546eefc334970b492a20ce6887403,3,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011000258,0e43e65824744e4e9d3399f674d95538,1,RELATIVE,,DEAD
101011000258,0e43e65824744e4e9d3399f674d95538,2,LOCAL MARKET,,IN/NEAR THE TOWN
101011000260,f5624915b2ea42698c93f09e51d55660,1,RELATIVE,,DEAD
101011000260,f5624915b2ea42698c93f09e51d55660,2,LOCAL MARKET,,IN/NEAR THE TOWN
101011000260,f5624915b2ea42698c93f09e51d55660,3,LOCAL MARKET,,WITHIN THE VILLAGE
101011010006,5845d8877c264a639aada480e64df344,1,RELATIVE,,WITHIN THE VILLAGE
101011010006,5845d8877c264a639aada480e64df344,2,PRIVATE TRADER IN MAIN MARKET,,IN/NEAR THE DISTRICT/URBAN CENTER
101011010006,5845d8877c264a639aada480e64df344,3,MOBILE MARKET,,WITHIN THE VILLAGE
101011010016,a32b7bf3a92240689cd1a5d1f522a140,1,RELATIVE,,DEAD
101011010016,a32b7bf3a92240689cd1a5d1f522a140,2,MAIN MARKET,,IN/NEAR THE DISTRICT/URBAN CENTER
101011010026,2d61398388e54acd9a37b9e331fa9ccd,1,RELATIVE,,WITHIN THE VILLAGE
101011010026,2d61398388e54acd9a37b9e331fa9ccd,2,MOBILE MARKET,,WITHIN THE VILLAGE
101011010026,2d61398388e54acd9a37b9e331fa9ccd,3,MAIN MARKET,,IN/NEAR THE DISTRICT/URBAN CENTER
101011010037,273878d185624e4aa08fbf10c88efa82,1,MOBILE MARKET,,WITHIN THE VILLAGE
101011010037,273878d185624e4aa08fbf10c88efa82,2,GOVERNMENT AGENCY,,OUTSIDE THE DISTRICT
101011010037,273878d185624e4aa08fbf10c88efa82,3,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011010037,273878d185624e4aa08fbf10c88efa82,4,GOVERNMENT AGENCY,,IN/NEAR THE TOWN
101011010046,6237f49f5a174df7884c1693808cbea3,1,LOCAL MARKET,,IN/NEAR THE TOWN
101011010046,6237f49f5a174df7884c1693808cbea3,2,MOBILE MARKET,,IN/NEAR THE TOWN
101011010046,6237f49f5a174df7884c1693808cbea3,3,GOVERNMENT AGENCY,,IN/NEAR THE TOWN
101011010055,018388a980ac4a1e95269d79f85b0e7c,1,RELATIVE,,DEAD
101011010055,018388a980ac4a1e95269d79f85b0e7c,2,MOBILE MARKET,,IN/NEAR THE TOWN
101011010055,018388a980ac4a1e95269d79f85b0e7c,3,LOCAL MARKET,,WITHIN THE VILLAGE
101011010064,ce16a1e2640047e3bf515d4bfc7b06f5,1,RELATIVE,,DEAD
101011010064,ce16a1e2640047e3bf515d4bfc7b06f5,2,MOBILE MARKET,,IN/NEAR THE TOWN
101011010074,a81c6b7867e148acab7667039d5256ad,1,RELATIVE,,WITHIN THE VILLAGE
101011010074,a81c6b7867e148acab7667039d5256ad,2,MOBILE MARKET,,IN/NEAR THE TOWN
101011010083,158e0fe582ac4aac9a7e3c8bca5e5ddf,1,RELATIVE,,DEAD
101011010083,158e0fe582ac4aac9a7e3c8bca5e5ddf,2,RELATIVE,,WITHIN THE VILLAGE
101011010083,158e0fe582ac4aac9a7e3c8bca5e5ddf,3,MOBILE MARKET,,IN/NEAR THE TOWN
101011010083,158e0fe582ac4aac9a7e3c8bca5e5ddf,4,DISTRICT VETERINARY,,IN/NEAR THE TOWN
101011010092,7dd94ab98be94ef7b026402b624547ed,1,RELATIVE,,DEAD
101011010092,7dd94ab98be94ef7b026402b624547ed,2,MOBILE MARKET,,IN/NEAR THE TOWN
101011010101,9af4fb6a33d04d21abecfcaec6e16811,1,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011010101,9af4fb6a33d04d21abecfcaec6e16811,2,RELATIVE,,WITHIN THE VILLAGE
101011010101,9af4fb6a33d04d21abecfcaec6e16811,3,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011010101,9af4fb6a33d04d21abecfcaec6e16811,4,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011010111,dedcd194d3d246c5b8ad29d075ae706a,1,RELATIVE,,WITHIN THE VILLAGE
101011010111,dedcd194d3d246c5b8ad29d075ae706a,2,RELATIVE,,WITHIN THE VILLAGE
101011010111,dedcd194d3d246c5b8ad29d075ae706a,3,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011010111,dedcd194d3d246c5b8ad29d075ae706a,4,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011010111,dedcd194d3d246c5b8ad29d075ae706a,5,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011010120,f4e49be9017546418526a3acf75c29ca,1,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
101011010129,8aa0db7b72c1478e880596ec8d69bacb,1,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011010129,8aa0db7b72c1478e880596ec8d69bacb,2,RELATIVE,,WITHIN THE VILLAGE
101011010129,8aa0db7b72c1478e880596ec8d69bacb,3,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011010129,8aa0db7b72c1478e880596ec8d69bacb,4,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
101011010129,8aa0db7b72c1478e880596ec8d69bacb,5,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011010139,c75267b00dec46509e1ccb468e14aea4,1,LOCAL MARKET,,OUTSIDE THE REGION
101011010149,287c0fcc56f44311a68f29ba8121ba2a,,,,
101011020002,3a3c53640cfd40719087b41f35b71019,1,MOBILE MARKET,,IN/NEAR THE TOWN
101011020021,e3c81d2d54b14241b9e10e95f84da6a0,1,RELATIVE,,IN/NEAR THE TOWN
101011020021,e3c81d2d54b14241b9e10e95f84da6a0,2,RELATIVE,,OUTSIDE THE REGION
101011020021,e3c81d2d54b14241b9e10e95f84da6a0,3,RELATIVE,,DEAD
101011020021,e3c81d2d54b14241b9e10e95f84da6a0,4,RELATIVE,,NEAR THE VILLAGE
101011020021,e3c81d2d54b14241b9e10e95f84da6a0,5,PRIVATE COMPANY/BUSINESS PERSON,,IN/NEAR THE TOWN
101011020021,e3c81d2d54b14241b9e10e95f84da6a0,6,LOCAL MARKET,,NEAR THE VILLAGE
101011020051,14364fd838a74f2d9166bc0715e4b96d,1,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011020051,14364fd838a74f2d9166bc0715e4b96d,2,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011020088,d28d50b33ee84f82a26e265fa2a743cf,1,RELATIVE,,WITHIN THE VILLAGE
101011020088,d28d50b33ee84f82a26e265fa2a743cf,2,RELATIVE,,DEAD
101011020088,d28d50b33ee84f82a26e265fa2a743cf,3,RELATIVE,,NEAR THE VILLAGE
101011020088,d28d50b33ee84f82a26e265fa2a743cf,4,PRIVATE COMPANY/BUSINESS PERSON,,IN/NEAR THE TOWN
101011020088,d28d50b33ee84f82a26e265fa2a743cf,5,LOCAL MARKET,,NEAR THE VILLAGE
101011020088,d28d50b33ee84f82a26e265fa2a743cf,6,MAIN MARKET,,IN/NEAR THE TOWN
101011020106,4aaf6a797ab04e7c88ab86dc1ad153ae,1,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
101011020140,ad98c2cdf217477f9abc57c60632f677,1,RELIGIOUS GROUP/INSTITUTION,,IN/NEAR THE TOWN
101011020140,ad98c2cdf217477f9abc57c60632f677,2,OTHER (SPECIFY),Pastor,IN/NEAR THE TOWN
101011020140,ad98c2cdf217477f9abc57c60632f677,3,RELATIVE,,NEAR THE VILLAGE
101011020140,ad98c2cdf217477f9abc57c60632f677,4,PRIVATE COMPANY/BUSINESS PERSON,,IN/NEAR THE TOWN
101011020140,ad98c2cdf217477f9abc57c60632f677,5,LOCAL MARKET,,IN/NEAR THE TOWN
101011020140,ad98c2cdf217477f9abc57c60632f677,6,GOVERNMENT AGENCY,,IN/NEAR THE TOWN
101011020183,6f7d332cc9df4fd9896e1ba8c9688848,1,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
101011020186,cdc58bdec76b49b1945457b654d293dc,1,MOBILE MARKET,,WITHIN THE VILLAGE
101011020199,2d8108cd7f2646d99de1cf860182d6ab,1,MOBILE MARKET,,WITHIN THE VILLAGE
101011020257,07a1ce1defcd4f21af47a3805d722165,1,PRIVATE TRADER IN LOCAL MARKET,,IN/NEAR THE TOWN
101011020257,07a1ce1defcd4f21af47a3805d722165,2,RELATIVE,,IN/NEAR THE TOWN
101011020257,07a1ce1defcd4f21af47a3805d722165,3,PRIVATE COMPANY/BUSINESS PERSON,,IN/NEAR THE TOWN
