case_id,HHID,gardenid,plotid,ag_k01a,ag_k01b,ag_k02,ag_k02_1,ag_k02_2a,ag_k02_2b,ag_k03,ag_k21a,ag_k21b,ag_k21c,ag_k21d,ag_k21e,ag_k21_oth,ag_k21b_oth,ag_k22,ag_k22_oth,ag_k23,ag_k24,ag_k25a,ag_k25b,ag_k25_oth,ag_k26a,ag_k26b,ag_k26_oth,ag_k26_1a,ag_k26_1b,ag_k26_2a,ag_k26_2b,ag_k26_2_oth,ag_k27,ag_k28,ag_k29a,ag_k29b,ag_k29_oth,ag_k30,ag_k30_oth,ag_k31,ag_k31_oth,ag_k33,ag_k34,ag_k35a,ag_k35b,ag_k35_oth,ag_k36,ag_k36_1a,ag_k36_1b,ag_k37,ag_k38a,ag_k38b,ag_k38b_oth,ag_k39,ag_k40,ag_k40_1,ag_k40_2,ag_k40a,ag_k40a_oth,ag_k40b,ag_k40c,ag_k40c_oth,ag_k40d,ag_k40e,ag_k40f,ag_k40f_oth,ag_k40g,ag_k40h,ag_k40h_oth,ag_k40i,ag_k41,ag_k42a,ag_k42a_oth,ag_k42b,ag_k42c,ag_k42c_oth,ag_k42d,ag_k42e,ag_k42e_oth,ag_k42f,ag_k42g,ag_k42g_oth,ag_k43a1,ag_k43b1,ag_k43c1,ag_k43d1,ag_k43a2,ag_k43b2,ag_k43c2,ag_k43d2,ag_k43a3,ag_k43b3,ag_k43c3,ag_k43d3,ag_k43a4,ag_k43b4,ag_k43c4,ag_k43d4,ag_k44a1,ag_k44b1,ag_k44c1,ag_k44d1,ag_k44a2,ag_k44b2,ag_k44c2,ag_k44d2,ag_k44a3,ag_k44b3,ag_k44c3,ag_k44d3,ag_k44a4,ag_k44b4,ag_k44c4,ag_k44d4,ag_k45a1,ag_k45b1,ag_k45c1,ag_k45d1,ag_k45a2,ag_k45b2,ag_k45c2,ag_k45d2,ag_k46a1,ag_k46b1,ag_k46a2,ag_k46b2,ag_k46a3,ag_k46b3,ag_k45a3,ag_k45b3,ag_k45c3,ag_k45d3,ag_k45a4,ag_k45b4,ag_k45c4,ag_k45d4,ag_k46f,ag_k46c,ag_k46c_oth,ag_k46d,ag_k46e,ag_k46e_oth,ag_k47a,ag_k47b,ag_k47c,ag_k48a,ag_k48b,ag_k48c,ag_k43a5,ag_k43b5,ag_k43c5,ag_k43d5,ag_k43a6,ag_k43b6,ag_k43c6,ag_k43d6,ag_k44a5,ag_k44b5,ag_k44c5,ag_k44d5,ag_k44a6,ag_k44b6,ag_k44c6,ag_k44d6,ag_k45a5,ag_k45b5,ag_k45c5,ag_k45d5,ag_k45a6,ag_k45b6,ag_k45c6,ag_k45d6
101011000040,9936d103bf974a93afbc63d477b8b3f2,DG03,D01,NO,,1,,,,1,TOMATO,,,,,,,Clay (Katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,YES,Bucket,Rainfed/No irrigation,,Watering can,,Well,,0,,,,,YES,AUGUST,2ND HALF,NO,,,,YES,NO,1,2,23:21:0+4S/CHITOWE,,10,KILOGRAM,,10,3,,,,,,,YES,INSECTICIDE,,2,GRAM,,NO,,,,,,1,1,5,6,,,,,,,,,,,,,1,1,2,1,,,,,,,,,,,,,1,3,2,1,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011000071,cc8f211413cd493e83e01a96aba95bbb,DG03,D01,NO,,1,,,,2,ONION,TOMATO,,,,,,Between sandy &amp; clay (Pakati pa mchenga ndi katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,YES,Bucket,Rainfed/No irrigation,,Watering can,,Well,,0,,,,,YES,APRIL,2ND HALF,NO,,,,YES,NO,2,2,23:21:0+4S/CHITOWE,,10,KILOGRAM,,10,2,,,,,,,NO,,,,,,,,,,,,1,1,3,3,,,,,,,,,,,,,1,1,3,3,,,,,,,,,,,,,1,1,3,3,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011000190,cc43ef9ad8aa45c28c6b1ec1daf1effc,DG03,D01,NO,,1,,,,2,SWEET POTATO,,,,,,,Between sandy &amp; clay (Pakati pa mchenga ndi katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,YES,Rainfed/No irrigation,,,,,,,0,,,,,YES,MARCH,1ST HALF,NO,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,1,1,6,6,3,,,,,,,,,,,,1,1,2,4,3,,,,,,,,,,,,3,8,3,5,1,8,3,5,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011000229,588862e09b294c19806cb1cea206b93f,DG03,D01,NO,,1,,,,2,SWEET POTATO,,,,,,,Clay (Katondo),,Fair,Low,Flooding,,,No erosion control,,,2 years ago,,Too risky/benefits unclear,,,Flat,YES,Rainfed/No irrigation,,,,,,,0,,,,,YES,MARCH,2ND HALF,NO,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,0,,,,,2,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
101011000253,18895b09d1aa4f2fb29731eff2be86f6,DG03,D01,NO,,2,,,,2,SWEET POTATO,,,,,,,Between sandy &amp; clay (Pakati pa mchenga ndi katondo),,Fair,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,NO,Rainfed/No irrigation,,,,,,,0,,,,,YES,APRIL,1ST HALF,NO,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,1,4,6,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,4,1,1,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011000260,f5624915b2ea42698c93f09e51d55660,RG04,D01,YES,4,,NO,,,1,SWEET POTATO,NKHWANI,,,,,,Sandy (Mchenga),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,YES,Hand pump,,,Watering can,,Well,,9999,,,,,YES,APRIL,1ST HALF,NO,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,1,1,2,2,,,,,,,,,,,,,1,1,6,3,,,,,,,,,,,,,1,2,6,3,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011010055,018388a980ac4a1e95269d79f85b0e7c,DG04,D01,NO,,1,,,,1,TOMATO,,,,,,,Clay (Katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,NO,Hand pump,,,Watering can,,River / Stream,,0,,,,,YES,JUNE,1ST HALF,NO,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,1,1,3,5,,,,,,,,,,,,,1,1,5,7,,,,,,,,,,,,,1,2,4,5,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011010055,018388a980ac4a1e95269d79f85b0e7c,DG05,D02,NO,,1,,,,1,MAIZE HYBRID,,,,,,,Clay (Katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,NO,Hand pump,,,Watering can,,River / Stream,,0,,,,,YES,JUNE,1ST HALF,NO,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,1,1,5,6,,,,,,,,,,,,,1,1,4,5,,,,,,,,,,,,,1,2,4,5,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011020088,d28d50b33ee84f82a26e265fa2a743cf,DG03,D01,NO,,1,,,,1,MAIZE LOCAL,,,,,,,Between sandy &amp; clay (Pakati pa mchenga ndi katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,YES,Bucket,,,Watering can,,Well,,2016,1,Lack of household labour,,,YES,OCTOBER,2ND HALF,YES,2,WHEELBARROW,,YES,YES,1,4,23:21:0+4S/CHITOWE,,25,KILOGRAM,,25,2,UREA,,25,KILOGRAM,,25,NO,,,,,,,,,,,,1,1,6,6,,,,,,,,,,,,,1,1,3,6,,,,,,,,,,,,,1,1,1,9,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011030122,be90dc04442f43f9b7bf199a362813b1,DG08,D01,NO,,1,,,,1,RICE IET4094 (SENGA),,,,,,,Clay (Katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,NO,Gravity,,,Flooding,,River / Stream,,9999,,,,,YES,AUGUST,1ST HALF,NO,,,,YES,YES,2,1,23:21:0+4S/CHITOWE,,1,10 KG BAG,,10,1,UREA,,15,KILOGRAM,,15,NO,,,,,,,,,,,,1,1,4,5,,,,,,,,,,,,,1,2,4,5,,,,,,,,,,,,,1,2,7,5,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
