case_id,HHID,gardenid,ag_b202,ag_b203_1a,ag_b203_1b,ag_b203_2,ag_b205,ag_b206,ag_b206a,ag_b206b__0,ag_b206b__1,ag_b206b__2,ag_b206b__3,ag_b206c,ag_b206d__0,ag_b206d__1,ag_b208a,ag_b208a_oth,ag_b208b,ag_b208c,ag_b208c_oth,ag_b208d,ag_b209a,ag_b209b,ag_b212,ag_b212_oth,ag_b213__0,ag_b213__1,ag_b213_1__0,ag_b213_1__1,ag_b214,ag_b214_oth,ag_b216a,ag_b216a_oth,ag_b216b,ag_b216c,ag_b216c_oth,ag_b216d,ag_b217a,ag_b217b,ag_b220,ag_b220_oth
101011000014,7d78f2c5da59436d9bde9b09ea8a8aaf,RG02,2,1,,9999,300000,15000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000023,7144cc6d29b3485d9e6d6188b255c756,RG02,1,1,,2013,200000,20000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000040,9936d103bf974a93afbc63d477b8b3f2,RG02,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,Cultivated,,,,,,,,,,,
101011000071,cc8f211413cd493e83e01a96aba95bbb,RG01,2,1,,1990,60000,6000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000071,cc8f211413cd493e83e01a96aba95bbb,RG02,2,1,,1990,80000,10000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000095,e50cfa8d11b44d56891e0fad015b07c7,RG02,1,1,,9999,150000,8000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000095,e50cfa8d11b44d56891e0fad015b07c7,RG03,2,1,,9999,150000,8000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000115,4c60971913ca49b4beb6def01a0b133f,RG01,1,,,1979,1000000,30000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000126,2fcb31f5f05349fca327dd2fa965b43a,RG02,2,1,,2014,40000,6000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000126,2fcb31f5f05349fca327dd2fa965b43a,RG03,2,1,,2014,30000,5000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
