ea_id,com_cb01,com_cb03,com_cb04,com_cb05,com_cb05_oth,com_cb05_1,com_cb06,com_cb07,com_cb08
10101100,3,MALE,46,OTHER (SPECIFY),SECRETARY TO THE SENIOR VILLAGE HEADMANN,1,28,JCE,SUKWA
10101100,1,MALE,40,HEADMAN,,2,40,PSLC,LAMBYA
10101100,9,MALE,58,OTHER (SPECIFY),HEALTH CHAIRMAN,1,29,JCE,LAMBYA
10101100,8,MALE,34,OTHER (SPECIFY),PTA MEMBER,1,34,MSCE,LAMBYA
10101100,6,FEMALE,44,OTHER (SPECIFY),LEAD FARMER,4,30,NONE,LAMBYA
10101100,10,MALE,51,OTHER (SPECIFY),DEPUTY HEAD,4,4,MSCE,LAMBYA
10101100,7,MALE,40,COUNSELOR TO HEADMAN,,8,40,MSCE,SUKWA
10101100,5,FEMALE,45,OTHER (SPECIFY),MOTHER GROUP CHAIRMAN,3,15,JCE,TUMBUKA
10101100,4,MALE,27,OTHER (SPECIFY),YOUTH MEMBER,5,27,MSCE,LAMBYA
10101100,2,MALE,55,OTHER (SPECIFY),VDC CHAIRMAN,3,38,PSLC,SUKWA
10101101,1,MALE,56,HEADMAN,,5,37,PSLC,LAMBYA
10101101,2,MALE,56,COUNSELOR TO HEADMAN,,0,24,JCE,SUKWA
10101101,4,MALE,36,OTHER (SPECIFY),SMC CHAIRMAN,5,36,MSCE,LAMBYA
10101101,6,MALE,54,OTHER (SPECIFY),MOTHER GROUP CHAIR LADY,0,54,NONE,SUKWA
10101101,5,MALE,31,OTHER (SPECIFY),PTA MEMBER,3,31,MSCE,SUKWA
10101101,3,MALE,29,OTHER (SPECIFY),VDC MEMBER,0,29,MSCE,LAMBYA
10101102,5,FEMALE,48,SCHOOL HEADMASTER,,23,23,MSCE,SUKWA
10101102,1,MALE,50,OTHER (SPECIFY),FORMER CHAIRLADY MOTHER GROUP,10,20,PSLC,LAMBYA
10101102,6,MALE,57,OTHER (SPECIFY),VDC CHAIR,5,9,MSCE,SUKWA
10101102,3,MALE,43,OTHER (SPECIFY),SECRETARY TO THE GVH,2,26,MSCE,TUMBUKA
10101102,4,FEMALE,45,HEALTH WORKER,,25,7,MSCE,LAMBYA
10101102,2,FEMALE,63,OTHER (SPECIFY),CHAIRLADY MOTHERHOOD,2,43,NONE,NYAKYUSA
10101103,1,MALE,50,OTHER (SPECIFY),VILLAGE ADVISOR,6,44,MSCE,LAMBYA
10101103,5,MALE,32,OTHER (SPECIFY),PTA MEMBER,2,26,PSLC,SUKWA
10101103,4,FEMALE,62,OTHER (SPECIFY),MOTHERGROUP COMMITTEE MEMBER,2,20,NONE,SUKWA
10101103,3,MALE,44,OTHER (SPECIFY),PTA REPRESENTATIVE,2,10,PSLC,LAMBYA
10101103,2,MALE,44,COUNSELOR TO HEADMAN,,9,44,NONE,LAMBYA
10101104,7,MALE,38,OTHER (SPECIFY),LEAD FARMER,10,38,JCE,SUKWA
10101104,1,MALE,43,OTHER (SPECIFY),SECRETARY TO THE VILLAGE HEAD,15,43,JCE,SUKWA
10101104,3,MALE,49,OTHER (SPECIFY),PTA CHAIRMAN,2,49,NONE,SUKWA
10101104,8,MALE,24,SCHOOL TEACHER,,2,20,MSCE,SUKWA
10101104,2,FEMALE,38,OTHER (SPECIFY),CHAIRPERSON VDC,5,22,PSLC,SUKWA
10101104,5,MALE,50,OTHER (SPECIFY),HEALTH VOLUNTEERS,12,50,PSLC,SUKWA
10101104,4,MALE,43,HEADMAN,,5,43,JCE,SUKWA
10101104,6,MALE,29,OTHER (SPECIFY),SMC CHAIRMAN,2,29,JCE,SUKWA
10101105,6,MALE,34,OTHER (SPECIFY),SMC CHAIRMAN,0,5,PSLC,LAMBYA
10101105,4,MALE,33,OTHER (SPECIFY),PTA CHAIMAN,0,20,PSLC,SUKWA
10101105,2,FEMALE,48,SCHOOL HEADMASTER,,4,4,MSCE,LAMBYA
10101105,1,MALE,42,HEADMAN,,17,17,JCE,LAMBYA
10101105,5,MALE,40,OTHER (SPECIFY),VDC SECRETARY,5,40,MSCE,LAMBYA
10101105,3,MALE,40,OTHER (SPECIFY),SECRETARY,6,40,JCE,LAMBYA
10101106,8,MALE,41,BUSINESS MAN/WOMAN,,6,29,JCE,LAMBYA
10101106,3,MALE,47,OTHER (SPECIFY),SECRETARY TO SGVH,1,47,NONE,LAMBYA
10101106,5,FEMALE,44,OTHER (SPECIFY),VICE CHAIRLADY OF TEMWEKA IRRIGATION,5,21,JCE,LAMBYA
10101106,4,MALE,38,OTHER (SPECIFY),HEALTH ASSISTANT,12,0,MSCE,TUMBUKA
10101106,7,FEMALE,49,OTHER (SPECIFY),FARMER,34,49,PSLC,LAMBYA
10101106,6,MALE,45,OTHER (SPECIFY),CHAIR PERSON  FOR THE VDC,3,45,JCE,LAMBYA
10101106,10,MALE,26,SCHOOL TEACHER,,3,26,MSCE,LAMBYA
10101106,1,MALE,43,HEADMAN,,4,34,MSCE,LAMBYA
10101106,9,MALE,42,OTHER (SPECIFY),POLICE COMMUNITY,7,25,PSLC,LAMBYA
10101106,2,FEMALE,39,OTHER (SPECIFY),FARMER,21,21,JCE,TUMBUKA
10102107,4,FEMALE,41,OTHER (SPECIFY),VDC REPRESENTATIVE,2,41,JCE,LAMBYA
10102107,1,MALE,24,OTHER (SPECIFY),COMMUNITY  REPRESANTATIVE,1,24,MSCE,LAMBYA
10102107,5,MALE,56,OTHER (SPECIFY),VICE CHAIRMAN SMC,3,56,JCE,LAMBYA
10102107,2,MALE,35,OTHER (SPECIFY),DEPUTY HEADMASTER,2,8,MSCE,LAMBYA
10102107,3,MALE,38,OTHER (SPECIFY),PTA CHAIRMAN,5,38,JCE,LAMBYA
10102108,10,MALE,44,OTHER (SPECIFY),SCHOOL COMMITEE CHAIRMAN,1,30,PSLC,LAMBYA
10102108,6,FEMALE,30,OTHER (SPECIFY),FARMER,5,8,PSLC,LAMBYA
10102108,9,MALE,50,HEADMAN,,1,50,NONE,LAMBYA
10102108,5,MALE,38,SCHOOL HEADMASTER,,4,1,MSCE,LAMBYA
10102108,7,FEMALE,20,OTHER (SPECIFY),SECRETARY TO THE VILLAGE HEAD,1,4,NONE,LAMBYA
10102108,3,MALE,45,OTHER (SPECIFY),SECRETARY TO THE VILLAGE HEADMAN,8,45,MSCE,LAMBYA
10102108,1,FEMALE,42,OTHER (SPECIFY),MOTHER GROUP TRASURE,3,20,NONE,LAMBYA
10102108,4,MALE,33,OTHER (SPECIFY),PTA CHAIRMAN,1,33,PSLC,LAMBYA
10102108,8,MALE,37,OTHER (SPECIFY),SECRETARY TO THE VILLAGE HEAD,1,37,PSLC,LAMBYA
10102108,2,MALE,37,COUNSELOR TO HEADMAN,,7,37,JCE,LAMBYA
10102109,2,MALE,60,COUNSELOR TO HEADMAN,,7,60,NONE,LAMBYA
10102109,5,FEMALE,54,OTHER (SPECIFY),PTA CHAIRLADY,1,37,PSLC,LAMBYA
10102109,3,MALE,39,OTHER (SPECIFY),VILLAGER,20,39,NONE,LAMBYA
10102109,6,MALE,36,OTHER (SPECIFY),VDC CHAIRMAN,1,30,MSCE,LAMBYA
10102109,4,FEMALE,46,OTHER (SPECIFY),MOTHER GROUP SECRETARY,1,11,PSLC,LAMBYA
10102109,1,MALE,39,OTHER (SPECIFY),CMC CHAIRMAN,1,39,PSLC,LAMBYA
10102110,8,FEMALE,60,OTHER (SPECIFY),MOTHER GROUP CHAIRMAN,2,30,PSLC,SUKWA
10102110,4,MALE,42,HEALTH WORKER,,19,11,JCE,LAMBYA
10102110,6,MALE,44,HEADMAN,,1,35,JCE,LAMBYA
10102110,7,MALE,36,OTHER (SPECIFY),LEAD FARMER,5,36,JCE,NYAKYUSA
10102110,1,MALE,37,OTHER (SPECIFY),SMC CHAIRMAN,1,37,PSLC,LAMBYA
10102110,3,MALE,52,OTHER (SPECIFY),VDC CHAIRMAN,9,35,JCE,LAMBYA
10102110,5,MALE,43,OTHER (SPECIFY),CHAIRMAN  OF IFUMBO HEALTH CENTRE,1,42,MSCE,LAMBYA
10102110,2,MALE,38,OTHER (SPECIFY),PTA CHAIRMAN,2,38,PSLC,LAMBYA
10103111,5,MALE,67,COUNSELOR TO HEADMAN,,10,67,PSLC,SUKWA
10103111,3,MALE,28,OTHER (SPECIFY),PTA CHAIRMAN,2,28,MSCE,SUKWA
10103111,2,MALE,60,OTHER (SPECIFY),VILLAGE DEVELOPMENT COMMITEE CHAIRMAN,2,60,PSLC,SUKWA
10103111,1,FEMALE,43,OTHER (SPECIFY),MOTHER GROUP,1,22,PSLC,SUKWA
10103111,4,MALE,56,COUNSELOR TO HEADMAN,,8,56,JCE,SUKWA
10103112,3,MALE,36,OTHER (SPECIFY),VDC KAPOKA,5,23,JCE,LAMBYA
10103112,5,FEMALE,38,OTHER (SPECIFY),MOTHER GROUP CHAIRLADY,1,20,MSCE,SUKWA
10103112,1,MALE,55,SCHOOL HEADMASTER,,14,6,MSCE,NGONI
10103112,4,MALE,50,HEALTH WORKER,,24,8,MSCE,TUMBUKA
10103112,7,FEMALE,36,OTHER (SPECIFY),LEAD FARMER,5,36,PSLC,SUKWA
10103112,8,MALE,49,OTHER (SPECIFY),PTA CHAIMAN,1,27,PSLC,LAMBYA
10103112,2,MALE,52,HEADMAN,,8,8,PSLC,SUKWA
10103112,6,FEMALE,34,OTHER (SPECIFY),VILLAGER,4,4,PSLC,SUKWA
10103113,4,MALE,29,OTHER (SPECIFY),MEMBER OF THE VDC,1,29,JCE,SUKWA
10103113,3,MALE,30,COUNSELOR TO HEADMAN,,6,22,NONE,SUKWA
10103113,1,MALE,25,OTHER (SPECIFY),REPRESENTIVE TO  TO THE VILLAGE HEAD,1,21,PSLC,SUKWA
10103113,2,MALE,32,OTHER (SPECIFY),SECTETARY TO THE VILLAGE HEADMAN,6,14,PSLC,SUKWA
10103113,6,MALE,54,OTHER (SPECIFY),PTA VICE CHAIRMAN,1,20,PSLC,SUKWA
10103113,5,MALE,58,OTHER (SPECIFY),MOTHERGROUP,0,15,NONE,SUKWA
10105114,5,MALE,50,OTHER (SPECIFY),VDC AND SCHOOL COMMITTEE MEMBER,2,34,PSLC,TUMBUKA
10105114,8,MALE,25,OTHER (SPECIFY),VDC MEMBER,0,25,PSLC,TUMBUKA
10105114,2,MALE,32,OTHER (SPECIFY),VDC CHAIRMAN,3,32,MSCE,TUMBUKA
10105114,6,MALE,31,OTHER (SPECIFY),BUILDER,6,24,JCE,TUMBUKA
10105114,3,MALE,43,OTHER (SPECIFY),FARMER,25,25,JCE,LAMBYA
10105114,4,FEMALE,38,OTHER (SPECIFY),FARMER,20,15,PSLC,TUMBUKA
10105114,7,MALE,23,OTHER (SPECIFY),FARMER,6,10,NONE,TUMBUKA
10105114,9,MALE,51,SCHOOL HEADMASTER,,5,2,JCE,LAMBYA
10105114,1,MALE,28,OTHER (SPECIFY),PTA  CHAIRMAN,3,28,PSLC,LAMBYA
10105115,3,MALE,42,OTHER (SPECIFY),VILLAGE DEVELOPMENT COMMITTEE CHAIRMAN,1,3,MSCE,LOMWE
10105115,1,MALE,53,OTHER (SPECIFY),LOCAL VILLAGER,15,15,MSCE,LAMBYA
10105115,2,MALE,75,HEADMAN,,16,44,PSLC,TUMBUKA
10105115,5,FEMALE,27,OTHER (SPECIFY),MOTHER GROUP CHAIRLADY,1,5,JCE,LAMBYA
10105115,4,MALE,75,OTHER (SPECIFY),PT AT CHAIRMAN,3,45,PSLC,LAMBYA
10106116,7,MALE,35,SCHOOL TEACHER,,2,35,MSCE,TUMBUKA
10106116,4,MALE,40,OTHER (SPECIFY),SCHOOL COMMITTEE SECRETARY,2,40,JCE,TUMBUKA
10106116,5,MALE,47,HEALTH WORKER,,23,4,MSCE,TUMBUKA
10106116,2,MALE,47,OTHER (SPECIFY),VILLAGE DEVELOPMENT CHAIRMAN,2,47,MSCE,TUMBUKA
10106116,8,MALE,67,HEADMAN,,7,67,PSLC,TUMBUKA
10106116,6,MALE,26,OTHER (SPECIFY),BUSSINESS MANN,2,26,PSLC,TUMBUKA
10106116,1,MALE,50,OTHER (SPECIFY),LEAD FARMER,32,33,JCE,TUMBUKA
10106116,3,MALE,39,OTHER (SPECIFY),SCHOOL COMMITTEE CHAIRMA,3,39,JCE,TUMBUKA
10106116,9,MALE,40,OTHER (SPECIFY),VDC MEMBER,5,40,JCE,TUMBUKA
10106117,2,MALE,45,OTHER (SPECIFY),ADC CHAIRMAN,1,45,MSCE,TUMBUKA
10106117,1,MALE,49,HEADMAN,,1,24,MSCE,TUMBUKA
10106117,5,MALE,45,OTHER (SPECIFY),SECRETARY,0,22,JCE,CHEWA
10106117,4,MALE,55,COUNSELOR TO HEADMAN,,0,55,JCE,TUMBUKA
10106117,3,MALE,72,OTHER (SPECIFY),SCHOO L COMMITTEE CHAIRMAN,4,72,PSLC,TUMBUKA
10106117,6,MALE,33,OTHER (SPECIFY),VICE VILLAGE DEVELOPMENT COMMITTEE CCHAIRMAN,1,9,MSCE,TUMBUKA
10107118,6,MALE,31,OTHER (SPECIFY),DEPUTY HEADMASTER,3,3,MSCE,TUMBUKA
10107118,5,MALE,24,OTHER (SPECIFY),FARMER,3,24,JCE,TUMBUKA
10107118,4,FEMALE,35,OTHER (SPECIFY),FARMER,10,15,PSLC,TUMBUKA
10107118,7,MALE,38,HEADMAN,,8,38,JCE,TUMBUKA
10107118,8,MALE,27,COUNSELOR TO HEADMAN,,20,27,PSLC,TUMBUKA
10107118,3,FEMALE,32,OTHER (SPECIFY),FARMER,5,7,NONE,TUMBUKA
10107118,9,MALE,61,OTHER (SPECIFY),VILLAGER,61,61,JCE,TUMBUKA
10107118,2,MALE,42,COUNSELOR TO HEADMAN,,5,42,NONE,TUMBUKA
10107118,1,MALE,50,OTHER (SPECIFY),FARMER,10,10,JCE,TUMBUKA
10109119,4,MALE,41,OTHER (SPECIFY),SECRETARY TO THE GROUP VILLAGE HEADMAN,2,40,MSCE,LAMBYA
10109119,5,MALE,37,OTHER (SPECIFY),DEPUTY HEADMASTER,2,6,MSCE,LAMBYA
10109119,1,MALE,25,OTHER (SPECIFY),SECRETARY FOR THE CLINIC,2,10,PSLC,LAMBYA
10109119,2,MALE,57,OTHER (SPECIFY),VILLAGE DEVELOPMENT COMMITTEE CHAIRMAN,1,57,JCE,LAMBYA
10109119,3,MALE,37,OTHER (SPECIFY),SCHOOLMANAGEMENT COMMITTEE CHAIRMAN,1,37,MSCE,LAMBYA
10109120,4,MALE,48,OTHER (SPECIFY),SECRETARY TO THE VILLAGE,2,35,PSLC,LAMBYA
10109120,6,MALE,39,HEADMAN,,7,39,NONE,LAMBYA
10109120,5,MALE,43,OTHER (SPECIFY),VILLAGE MEMBER,43,43,NONE,LAMBYA
10109120,1,MALE,46,HEADMAN,,2,3,NONE,LAMBYA
10109120,2,MALE,51,OTHER (SPECIFY),VDC TREASURE,3,51,PSLC,LAMBYA
10109120,8,MALE,47,OTHER (SPECIFY),SMC CHAIMAN,4,47,PSLC,LAMBYA
10109120,3,MALE,46,OTHER (SPECIFY),PTA CHAIRMAN,6,34,PSLC,LAMBYA
10109120,7,FEMALE,56,OTHER (SPECIFY),MOTHER GROUP CHAIRMAN,4,56,NONE,SUKWA
10109121,5,MALE,52,OTHER (SPECIFY),SCHOOL MANAGEMENT COMMITEE CHAIRMAN,11,52,PSLC,LAMBYA
10109121,2,MALE,46,OTHER (SPECIFY),VDC CHAIRMAN,7,46,NONE,LAMBYA
10109121,4,MALE,58,SCHOOL HEADMASTER,,12,16,JCE,LAMBYA
10109121,1,MALE,36,HEADMAN,,4,36,PSLC,LAMBYA
10109121,3,MALE,60,HEADMAN,,2,60,PSLC,LAMBYA
10120122,1,MALE,49,OTHER (SPECIFY),DEPUTY HEADMASTER,12,1,MSCE,SENGA
10120122,3,MALE,45,OTHER (SPECIFY),MEESANGER,5,45,JCE,SUKWA
10120122,2,MALE,47,HEALTH WORKER,,25,1,MSCE,LAMBYA
10120122,6,FEMALE,24,OTHER (SPECIFY),FARMER,10,11,JCE,TUMBUKA
10120122,7,FEMALE,51,OTHER (SPECIFY),PTA CHAIRLADY,2,20,NONE,TUMBUKA
10120122,5,FEMALE,32,OTHER (SPECIFY),FARMER,10,4,PSLC,LAMBYA
10120122,4,FEMALE,58,OTHER (SPECIFY),MOTHER GROUP TRAESURE,10,58,PSLC,LAMBYA
10120123,4,FEMALE,48,OTHER (SPECIFY),MOTHERGROUP SECRETARY,8,35,PSLC,SUKWA
10120123,3,MALE,44,COUNSELOR TO HEADMAN,,6,20,MSCE,LAMBYA
10120123,1,MALE,29,OTHER (SPECIFY),YOUTH MEMBER,1,20,JCE,LAMBYA
10120123,5,FEMALE,35,OTHER (SPECIFY),VILLAGE MEMBER,25,25,NONE,LAMBYA
10120123,2,MALE,49,HEADMAN,,6,24,NONE,LAMBYA
10201124,9,MALE,44,OTHER (SPECIFY),VILLAGER,38,38,MSCE,SUKWA
10201124,8,MALE,48,OTHER (SPECIFY),MULUME MKULU,15,41,NONE,TUMBUKA
10201124,4,MALE,47,OTHER (SPECIFY),CHAIMAN FOR DEVELOPMENT IN THE VILLAGE,1,47,NONE,TUMBUKA
10201124,6,MALE,40,OTHER (SPECIFY),HEALTH VOLUNTEER,10,13,MSCE,TUMBUKA
10201124,7,MALE,36,OTHER (SPECIFY),VILLAGE MEMBER,36,36,NONE,TUMBUKA
10201124,5,MALE,31,OTHER (SPECIFY),SECRETARY DEVELOPMENT COMMITEE,2,31,MSCE,TUMBUKA
10201124,2,FEMALE,39,OTHER (SPECIFY),VILLAGER,39,39,JCE,TUMBUKA
10201124,1,FEMALE,39,OTHER (SPECIFY),VILLAGER,39,39,PSLC,TUMBUKA
10201124,3,MALE,46,OTHER (SPECIFY),DEVELOPMENT COMMITEE MEMBER,1,46,PSLC,TUMBUKA
10201125,1,MALE,55,OTHER (SPECIFY),PTA CHAIMAN,2,55,MSCE,SUKWA
10201125,2,MALE,64,COUNSELOR TO HEADMAN,,15,45,PSLC,NKHONDE
10201125,4,MALE,73,OTHER (SPECIFY),SCHOOL MANAGENT COMMITEE CHAIRMAN,3,54,MSCE,NKHONDE
10201125,3,FEMALE,43,OTHER (SPECIFY),CHAIRLADY MOTHERGROUP,4,43,PSLC,SUKWA
10201126,2,MALE,52,OTHER (SPECIFY),VILLAGE DEVELOPMENT COMMITTEE,3,28,PSLC,NKHONDE
10201126,1,MALE,28,COUNSELOR TO HEADMAN,,2,28,NONE,NKHONDE
10201126,6,MALE,28,OTHER (SPECIFY),CARPENTER,6,28,JCE,NKHONDE
10201126,5,MALE,21,OTHER (SPECIFY),FARMER,7,21,PSLC,NKHONDE
10201126,4,MALE,41,OTHER (SPECIFY),FARMER,30,41,NONE,NKHONDE
10201126,3,MALE,34,SCHOOL HEADMASTER,,2,2,MSCE,NYAKYUSA
10201127,1,MALE,38,OTHER (SPECIFY),VDC VICE CHAIRMAN,5,38,JCE,NKHONDE
10201127,4,MALE,41,OTHER (SPECIFY),SMC CHAIRMAN,2,41,MSCE,NKHONDE
10201127,3,FEMALE,54,OTHER (SPECIFY),MOTHER GROUP CHAIRLADY,5,54,PSLC,NKHONDE
10201127,2,MALE,70,OTHER (SPECIFY),PTA CHAIRMAN,7,2,JCE,TUMBUKA
10201127,5,MALE,53,HEADMAN,,1,53,NONE,NKHONDE
10201127,6,MALE,40,OTHER (SPECIFY),VILLAGE CIVIL PROTECTION COMMITEE CHAIRMAN,0,40,MSCE,NKHONDE
10201128,1,MALE,58,OTHER (SPECIFY),AREA DEVELOPMENT COMMITTEE CHAIMAN,5,58,MSCE,NKHONDE
10201128,2,MALE,45,OTHER (SPECIFY),NDUNA YA MFUMU,21,45,PSLC,NKHONDE
10201128,4,FEMALE,52,OTHER (SPECIFY),LEAD FARMER,7,52,NONE,TUMBUKA
10201128,3,MALE,55,SCHOOL TEACHER,,24,6,JCE,NKHONDE
10201128,5,MALE,39,OTHER (SPECIFY),SECRETARY,13,39,MSCE,TUMBUKA
10201128,6,MALE,53,OTHER (SPECIFY),SCHOOL COMMITTEE CHAIRMAN,1,48,POST-GRAD DEGREE,NKHONDE
10202129,2,MALE,29,OTHER (SPECIFY),VILLAGE MEMBER,20,29,NONE,NYAKYUSA
10202129,3,MALE,39,COUNSELOR TO HEADMAN,,6,39,JCE,NYAKYUSA
10202129,4,MALE,49,OTHER (SPECIFY),PTA COMMITEE MEMBER,9,9,JCE,NYAKYUSA
10202129,1,MALE,32,COUNSELOR TO HEADMAN,,7,6,JCE,NYAKYUSA
10202129,6,MALE,41,OTHER (SPECIFY),VILLAGE HEADMAN REPRESENTATIVE,4,41,JCE,NYAKYUSA
10202129,5,FEMALE,55,OTHER (SPECIFY),MOTHER GROUP CHAIRMAN,5,25,NONE,NYAKYUSA
10203130,7,FEMALE,35,OTHER (SPECIFY),MOTHERGROUP CHAIRLADY,1,15,PSLC,SUKWA
10203130,11,FEMALE,56,RELIGIOUS LEADER,,5,41,NONE,SUKWA
10203130,1,MALE,30,OTHER (SPECIFY),VCD TREASURE,4,30,JCE,SUKWA
10203130,8,FEMALE,30,OTHER (SPECIFY),MEMBER OF THE VILLAGE,30,30,NONE,SUKWA
10203130,5,MALE,27,SCHOOL TEACHER,,0,0,MSCE,LAMBYA
10203130,3,MALE,32,OTHER (SPECIFY),SCHOOL COMMITEE MEMBER,1,3,NONE,SUKWA
10203130,10,MALE,35,COUNSELOR TO HEADMAN,,5,15,NONE,SUKWA
10203130,4,MALE,42,OTHER (SPECIFY),VILLAGE MEMBER,0,0,NONE,SUKWA
10203130,6,FEMALE,45,OTHER (SPECIFY),SCHOOL COMMITTEE MEMBER,2,6,NONE,NGONI
10203130,2,FEMALE,49,OTHER (SPECIFY),VICE CHAIRLADY FOR THE VCD,4,30,NONE,SUKWA
10203130,9,FEMALE,26,OTHER (SPECIFY),MEMBER OF THE COMMUNITY,10,10,PSLC,SUKWA
10203131,8,MALE,49,OTHER (SPECIFY),VILLGE DEVELOPMENT COMMITTEE CHAIRMAN,1,49,MSCE,NKHONDE
