hhID,plotID,plot_area_reported,crop_area_share,planting_month,planting_year,crop,harvest_month_begin,harvest_year_begin,harvest_month_end,harvest_year_end,season,adm1,adm2,adm3,adm4,latitude,longitude,GPS_level,plot_area_measured,harvest_month,harvest_year,source,country
H0010201,4,0.10117361392148927,NA,6,2015,Cassava,NA,NA,NA,NA,first,Ssembabule,Mateete,Nakagongo,Bukaana,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0010201,2,0.2832861141558361,40,4,2016,Maize,NA,NA,NA,NA,second,Ssembabule,Mateete,Nakagongo,Bukaana,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0010201,1,0.20234722784297854,100,4,2016,Groundnuts,NA,NA,NA,NA,second,Ssembabule,Mateete,Nakagongo,Bukaana,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0010201,2,0.2832861141558361,50,8,2015,Beans,11,2014,12,2014,first,Ssembabule,Mateete,Nakagongo,Bukaana,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0010201,2,0.2832861141558361,50,8,2015,Maize,NA,NA,NA,NA,first,Ssembabule,Mateete,Nakagongo,Bukaana,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0010201,4,0.10117361392148927,100,6,2015,Cassava,NA,NA,NA,NA,second,Ssembabule,Mateete,Nakagongo,Bukaana,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0010201,2,0.2832861141558361,60,4,2016,Beans,NA,NA,NA,NA,second,Ssembabule,Mateete,Nakagongo,Bukaana,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0010201,1,0.20234722784297854,60,8,2015,Groundnuts,12,2014,12,2014,first,Ssembabule,Mateete,Nakagongo,Bukaana,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0010201,3,0.121408341530121,100,4,2016,Sweet potatoes,NA,NA,NA,NA,second,Ssembabule,Mateete,Nakagongo,Bukaana,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0010201,2,0.2832861141558361,50,8,2015,Beans,10,2014,11,2014,first,Ssembabule,Mateete,Nakagongo,Bukaana,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
