case_id,ea_id,visit,ag_c0a,ag_c00,ag_c01,ag_c02,ag_c04a,ag_c04b,ag_c04c,ag_c05d_os
101012150001,10101215,1,,R1,Yes,LOCAL MAIZE,.5,Acre,.70999998,
101012150001,10101215,1,,R2,Yes,LOCAL MAIZE,.5,Acre,.34999999,
101012150001,10101215,1,,R3,Yes,HYBRID,.25,Acre,.19,
101012150001,10101215,1,,R4,Yes,FALLOW,.25,Acre,1.2,
101012150004,10101215,1,,R1,Yes,LOCAL MAIZE,1,Acre,.56,
101012150004,10101215,1,,R2,Yes,LOCAL MAIZE,1.5,Acre,1.91,
101012150004,10101215,1,,R3,Yes,FALLOW,2,Acre,3.1300001,
101012150021,10101215,1,,R1,Yes,LOCAL MAIZE,1,Acre,1.67,
101012150022,10101215,1,,R1,Yes,HYBRID MAIZE,.75,Acre,.55000001,
101012150022,10101215,1,,R2,Yes,LOCAL MAIZE,.5,Acre,.33000001,
101012150022,10101215,1,,R3,Yes,LOCAL MAIZE,1,Acre,.88,
101012150022,10101215,1,,R4,Yes,G/NUTS,.25,Acre,.31,
101012150026,10101215,1,,R1,Yes,LOCAL MAIZE,1.5,Acre,.82999998,
101012150026,10101215,1,,R2,Yes,HYBRID MAIZE,2,Acre,1.9400001,
101012150028,10101215,1,,R1,Yes,MAIZE HYBRID,1,Acre,.40000001,
101012150028,10101215,1,,R2,Yes,MAIZE LOCAL,.5,Acre,1.5,
101012150028,10101215,1,,R3,Yes,G/NUTS,.5,Acre,.30000001,
101012150028,10101215,1,,R4,Yes,SWEET POTATO,.25,Acre,.07,
101012150028,10101215,1,,R5,Yes,FALLOW,1.5,Acre,3.2,
101012150034,10101215,1,,R1,Yes,MAIZE HYBRID,2,Acre,.40000001,
101012150034,10101215,1,,R2,Yes,BARLEY TOBACCO,.5,Acre,.80000001,
101012150034,10101215,1,,R3,Yes,SOYA BEANS,.25,Acre,.2,
101012150034,10101215,1,,R4,Yes,MAIZE LOCAL,.25,Acre,.60000002,
101012150038,10101215,1,,R1,Yes,"LOCAL MAIZE, BEANS/PEAS",.5,Acre,.11,
101012150038,10101215,1,,R2,Yes,G/NUTS,.5,Acre,.07,
101012150040,10101215,1,,R1,Yes,HYBRID MAIZE,1,Acre,1.0700001,
101012150040,10101215,1,,R2,Yes,G/NUTS,.5,Acre,.18000001,
101012150045,10101215,1,,R1,Yes,BEANS/LOCAL MAIZE,.5,Acre,.28,
101012150048,10101215,1,,R1,Yes,HYBRID MAIZE,2.25,Acre,2.6400001,
101012150049,10101215,1,,R1,Yes,HYBRID MAIZE,.5,Acre,1.1,
101012150049,10101215,1,,R2,Yes,LOCAL MAIZE,.5,Acre,1.08,
101012150049,10101215,1,,R3,Yes,LOCAL MAIZE,.5,Acre,1.01,
101012150049,10101215,1,,R4,Yes,TOBACCO,.5,Acre,.20999999,
101012150049,10101215,1,,R5,Yes,SWEET POTATO,.2,Square Meters,.0099999998,
101012150053,10101215,1,,R1,Yes,LOCAL MAIZE,1,Acre,1.22,
101012150053,10101215,1,,R2,Yes,LOCAL MAIZE,1,Acre,.58999997,
101012150053,10101215,1,,R3,Yes,LOCAL MAIZE,.5,Acre,.25999999,
101012150053,10101215,1,,R4,Yes,G/NUTS,.25,Acre,.059999999,
101012150059,10101215,1,,R1,Yes,MAIZE LOCAL,.5,Acre,.5,
101012150059,10101215,1,,R2,Yes,MAIZE HYBRID,.25,Acre,.12,
101012150059,10101215,1,,R3,Yes,G/NUTS,.25,Acre,.2,
101012150059,10101215,1,,R4,Yes,SWEET POTATO,.25,Acre,.059999999,
101012150060,10101215,1,,R1,Yes,LOCAL MAIZE,1.5,Acre,.98000002,
101012150074,10101215,1,,R1,Yes,MAIZE LOCAL,.5,Acre,.60000002,
101012150074,10101215,1,,R2,Yes,HYBRID MAIZE,1,Acre,1,
101012150074,10101215,1,,R3,Yes,SWEET POTATO,.25,Acre,.25,
101012150074,10101215,1,,R4,Yes,TOBACCO,.5,Acre,.5,
101017060006,10101706,1,2,R1,Yes,LOCAL,2,Acre,1.86,
101017060006,10101706,1,2,R2,Yes,BURLEY TOBACCO,.5,Acre,.47999999,
101017060006,10101706,1,2,R3,Yes,BEANS,.25,Acre,.18000001,
101017060007,10101706,1,2,R1,Yes,HYBRID MAIZE,1.5,Acre,1.08,
101017060007,10101706,1,2,R2,Yes,BURLEY TOBACCO,.25,Acre,.58999997,
101017060011,10101706,1,2,R1,Yes,LOCAL,1,Acre,1.38,
101017060011,10101706,1,2,R2,Yes,BEANS,.25,Acre,.28999999,
101017060015,10101706,1,2,R1,Yes,LOCAL MAIZE,1,Acre,1.03,
101017060015,10101706,1,2,R2,Yes,HYBRID MAIZE,.5,Acre,.23,
101017060022,10101706,1,2,R1,Yes,HYBRID MAIZE RECY,1,Acre,1.76,
101017060026,10101706,1,2,R1,Yes,HYBRID MAIZE RECYLED,1.5,Acre,2.1600001,
101017060030,10101706,1,2,R1,Yes,LOCAL MAIZE,1.25,Acre,2.21,
101017060033,10101706,1,2,R1,Yes,LOCAL MAIZE,2,Acre,1.7,
101017060033,10101706,1,2,R2,Yes,G/NUTS CG7,1,Acre,.94,
101017060041,10101706,1,2,R1,Yes,HYBRID MAIZE,2.5,Acre,2.71,
101017060048,10101706,1,2,R1,Yes,HYBRID MAIZE,1,Acre,1.4,
101017060052,10101706,1,2,R1,Yes,LOCAL,1,Acre,.74000001,
101017060059,10101706,1,2,R1,Yes,LOCAL,.5,Acre,1.22,
101017060059,10101706,1,2,R2,Yes,FINGER MILLET,.25,Acre,1.76,
101017060063,10101706,1,2,R1,Yes,LOCAL,.25,Acre,.38999999,
101017060067,10101706,1,2,R1,Yes,HYBRID MAIZE,1,Acre,2.3099999,
101017060067,10101706,1,2,R2,Yes,GROUNDNUTS,.25,Acre,.83999997,
101017060074,10101706,1,2,R1,Yes,HYBRID MAIZE,.25,Acre,.63999999,
101017060074,10101706,1,2,R2,Yes,LOCAL,.25,Acre,.57999998,
101013740013,10101374,1,2,R1,Yes,LOCAL,2,Acre,1.26,
101013740020,10101374,1,2,R1,Yes,HYBRID MAIZE,1.5,Acre,1.86,
101013740020,10101374,1,2,R2,Yes,BURLEY TOBACCO,.75,Acre,.55000001,
101013740028,10101374,1,2,R1,Yes,HYBRID MAIZE,2,Acre,1.59,
101013740028,10101374,1,2,R2,Yes,FALLOW,3,Acre,3.76,
101013740035,10101374,1,2,R1,Yes,LOCAL,.5,Acre,1.01,
101013740050,10101374,1,2,R1,Yes,HYBRID MAIZE,1,Acre,1.03,
101013740050,10101374,1,2,R2,Yes,GROUNDNUTS,.25,Acre,.22,
101013740057,10101374,1,2,R1,Yes,HYBRID MAIZE,.75,Acre,.81,
101013740057,10101374,1,2,R2,Yes,TOBACCO,1,Acre,1.2,
101013740057,10101374,1,2,R3,Yes,LOCAL,.75,Acre,1.09,
101013740064,10101374,1,2,R1,Yes,LOCAL MAIZE,1.5,Acre,1.86,
101013740072,10101374,1,2,R1,Yes,LOCAL MAIZE,.25,Acre,.54000002,
101013740094,10101374,1,2,R1,Yes,LOCAL MAIZE,1,Acre,.87,
101013740094,10101374,1,2,R2,Yes,HYBRID MAIZE RECYCLED,1,Acre,1.0700001,
101013740101,10101374,1,2,R1,Yes,LOCAL MAIZE,1,Acre,1.64,
101013740108,10101374,1,2,R1,Yes,LOCAL MAIZE,1,Acre,.98000002,
101013740123,10101374,1,2,R1,Yes,BURLEY TOBACCO,2,Acre,2.27,
101013740130,10101374,1,2,R1,Yes,HYBRID MAIZE,1,Acre,1.42,
101013740130,10101374,1,2,R2,Yes,FALLOW,1,Acre,1.22,
101013740138,10101374,1,2,R1,Yes,HYBRID MAIZE,.5,Acre,.41999999,
101013740152,10101374,1,2,R1,Yes,LOCAL,1,Acre,.83999997,
101013740152,10101374,1,2,R2,Yes,BURLEY TOBACCO,.5,Acre,.64999998,
101012190012,10101219,1,2,R1,Yes,LOCAL MAIZE,3,Acre,2.03,
101012190012,10101219,1,2,R2,Yes,HYBRID MAIZE,2,Acre,1.15,
101012190018,10101219,1,2,R1,Yes,HYBRID MAIZE,1,Acre,.93000001,
101012190018,10101219,1,2,R2,Yes,BURLEY TOBACCO,.5,Acre,.33000001,
101012190018,10101219,1,2,R3,Yes,TOMATO,.25,Acre,.31999999,
101012190025,10101219,1,2,R1,Yes,HYBRID MAIZE,1,Acre,1.21,
101012190025,10101219,1,2,R2,Yes,GROUNDNUTS,.5,Acre,.19,
101012190025,10101219,1,2,R3,Yes,WOODLOT,.25,Acre,.28,
101012190032,10101219,1,2,R1,Yes,HYBRIB,1,Acre,.99000001,
101012190032,10101219,1,2,R2,Yes,BURLEY TOBACCO,.5,Acre,.43000001,
101012190045,10101219,1,2,R1,Yes,HYBRID MAIZE,1,Acre,2.01,
101012190045,10101219,1,2,R2,Yes,HYBRID MAIZE,.5,Acre,.23999999,
101012190052,10101219,1,2,R1,Yes,HYBRID MAIZE,.25,Acre,.18000001,
101012190052,10101219,1,2,R2,Yes,HYBRID MAIZE,1,Acre,.43000001,
101012190052,10101219,1,2,R3,Yes,FALLOW,3,Acre,2.21,
101012190059,10101219,1,2,R1,Yes,HYBRID MAIZE,.5,Acre,.22,
101012190065,10101219,1,2,R1,Yes,HYBRID MAIZE,.25,Acre,.19,
101012190065,10101219,1,2,R2,Yes,HYBRID MAIZE,1,Acre,.50999999,
101012190079,10101219,1,2,R1,Yes,HYBRID MAIZE,.5,Acre,.50999999,
101012190086,10101219,1,2,R1,Yes,LOCAL,.5,Acre,.56999999,
101012190086,10101219,1,2,R2,Yes,HYBRID MAIZE,.25,Acre,.43000001,
101012190092,10101219,1,2,R1,Yes,LOCAL,1,Acre,.98000002,
101012190099,10101219,1,2,R1,Yes,LOCAL,1,Acre,1.03,
101012190112,10101219,1,2,R1,Yes,LOCAL MAIZE,1,Acre,.93000001,
101012190119,10101219,1,2,R1,Yes,LOCAL MAIZE,2,Acre,2.4300001,
101012190126,10101219,1,2,R1,Yes,HYBRIB MAIZE,2,Acre,2.1300001,
101012190139,10101219,1,2,R1,Yes,HYBRID MAIZE RECY,2.25,Acre,2.1600001,
101012190139,10101219,1,2,R2,Yes,BEANS,.5,Acre,.44999999,
101012190139,10101219,1,2,R3,Yes,TOBACCO BARLEY,1.5,Acre,1.39,
101014700012,10101470,1,1,R1,Yes,LOCAL MAIZE,.5,Acre,.81,
101014700012,10101470,1,1,R2,Yes,HYBRID MAIZE,.5,Acre,.60000002,
101014700012,10101470,1,1,R3,Yes,GROUNDNUTS,.5,Acre,.51999998,
101014700026,10101470,1,1,R1,Yes,HYBRID MAIZE,1,Acre,1.05,
101014700026,10101470,1,1,R2,Yes,GROUNDNUTS,.5,Acre,.28,
101014700029,10101470,1,1,R1,Yes,LOCAL MAIZE,2,Acre,2.1199999,
101014700032,10101470,1,2,R1,Yes,LOCAL MAIZE,1.5,Acre,1.72,
101014700032,10101470,1,2,R2,Yes,GROUNDNUTS,.25,Acre,.31,
101014700032,10101470,1,2,R3,Yes,FALLOW,.5,Acre,.63,
101014700034,10101470,1,2,R1,Yes,LOCAL MAIZE,1,Acre,.80000001,
101014700034,10101470,1,2,R2,Yes,SWEET POTATO,.5,Acre,.1,
101014700055,10101470,1,2,R1,Yes,MAIZE HYBRID,1,Acre,.5,
101014700055,10101470,1,2,R2,Yes,MAIZE HYBRID,.5,Acre,.15000001,
101014700055,10101470,1,2,R3,Yes,SWEET POTATO,.25,Acre,.050000001,
101014700055,10101470,1,2,R4,Yes,FALLOW,.5,Acre,.69999999,
