case_id,visit,ea_id,hh_n0a,hh_n0b,hh_n01,hh_n02,hh_n03,hh_n04,hh_n05,hh_n06,hh_n07,hh_n08
101010160009,1,10101016,yes,yes,no,yes,no,no,no,no,no,no
101010160033,1,10101016,no,no,no,no,no,no,no,no,no,no
101010160060,1,10101016,yes,yes,no,yes,no,no,no,no,no,no
101010160068,1,10101016,no,no,no,no,no,no,no,no,no,no
101010160069,1,10101016,no,no,no,no,no,no,no,no,no,no
101010160070,1,10101016,yes,yes,no,yes,no,no,yes,no,no,no
101010160074,1,10101016,yes,yes,no,yes,no,no,no,no,no,no
101010160086,1,10101016,no,no,no,no,no,no,no,no,no,no
101010160096,1,10101016,no,no,no,no,no,no,no,no,no,no
101010160143,1,10101016,no,no,no,no,no,no,no,no,no,no
101010160159,1,10101016,no,no,no,no,no,no,no,no,no,no
101010160180,1,10101016,no,no,no,no,no,no,no,no,no,no
101010160207,1,10101016,no,no,no,no,no,no,no,no,no,no
101010160235,1,10101016,no,no,no,no,no,no,no,no,no,no
101010160254,1,10101016,yes,yes,no,no,no,yes,no,no,no,no
101010160265,1,10101016,no,no,no,no,no,no,no,no,no,no
101012040003,2,10101204,no,no,no,no,no,no,no,no,no,no
101012040007,2,10101204,no,no,no,no,no,no,no,no,no,no
101012040011,2,10101204,no,no,no,no,no,no,no,no,no,no
101012040020,2,10101204,no,no,no,no,no,no,no,no,no,no
101012040024,2,10101204,no,no,no,no,no,no,no,no,no,no
101012040028,2,10101204,yes,yes,no,no,no,no,no,no,no,yes
101012040037,2,10101204,no,no,no,no,no,no,no,no,no,no
101012040041,2,10101204,no,no,no,no,no,no,no,no,no,no
101012040045,2,10101204,no,no,no,no,no,no,no,no,no,no
101012040054,2,10101204,no,no,no,no,no,no,no,no,no,no
101012040058,2,10101204,yes,yes,no,yes,no,no,no,no,no,no
101012040062,2,10101204,no,no,no,no,no,no,no,no,no,no
101012040071,2,10101204,no,no,no,no,no,no,no,no,no,no
101012040075,2,10101204,no,no,no,no,no,no,no,no,no,no
101012040079,2,10101204,yes,yes,yes,no,no,no,no,no,no,no
101012040087,2,10101204,no,no,no,no,no,no,no,no,no,no
101012150001,1,10101215,no,no,no,no,no,no,no,no,no,no
101012150004,1,10101215,no,no,no,no,no,no,no,no,no,no
101012150021,1,10101215,yes,yes,no,no,no,no,no,no,no,yes
101012150022,1,10101215,no,no,no,no,no,no,no,no,no,no
101012150026,1,10101215,yes,yes,no,no,no,no,no,no,no,yes
101012150028,1,10101215,no,no,no,no,no,no,no,no,no,no
101012150034,1,10101215,no,no,no,no,no,no,no,no,no,no
101012150038,1,10101215,yes,yes,no,no,no,no,no,no,no,yes
101012150040,1,10101215,no,no,no,no,no,no,no,no,no,no
101012150045,1,10101215,yes,yes,no,yes,no,no,no,no,no,no
101012150048,1,10101215,yes,yes,no,no,yes,no,no,no,no,no
101012150049,1,10101215,yes,yes,yes,no,no,no,no,no,no,no
101012150053,1,10101215,no,no,no,no,no,no,no,no,no,no
101012150059,1,10101215,no,no,no,no,no,no,no,no,no,no
101012150060,1,10101215,no,no,no,no,no,no,no,no,no,no
