ea_id,com_ce01a,com_ce01a_os,com_ce01b,com_ce01b_os,com_ce01c,com_ce01c_os,com_ce02,com_ce03,com_ce04,com_ce05a,com_ce05a_os,com_ce05b,com_ce05b_os,com_ce06,com_ce07,com_ce08a,com_ce08a_os,com_ce08b,com_ce08b_os,com_ce09,com_ce10,com_ce11a,com_ce11b,com_ce12,com_ce13,com_ce14a,com_ce14b,com_ce15
10101016,farming,,"BEER BREWING, KACHASU",,,,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10101204,farming,,"BEER BREWING, KACHASU",,,,no,,,,,,,no,,,,,,no,,,,,,,,
10101215,farming,,"BEER BREWING, KACHASU",,,,yes,ALMOST NONE,RURAL AREAS,farming,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10101219,farming,,"BEER BREWING, KACHASU",,,,yes,1/4,RURAL AREAS,farming,,,,no,,,,,,no,,,,,,,,
10101355,farming,,,,,,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10101374,farming,,"BEER BREWING, KACHASU",,,,yes,ALMOST NONE,RURAL AREAS,farming,,OTHER (SPECIFY),MAKING BRICKS,no,,,,,,no,,,,,,,,
10101470,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,yes,ALMOST NONE,RURAL AREAS,farming,,,,no,,,,,,no,,,,,,,,
10101562,farming,,"BEER BREWING, KACHASU",,,,yes,ALMOST NONE,RURAL AREAS,farming,,,,yes,URBAN CENTRES,farming,,,,no,,,,,,,,
10101568,farming,,"BEER BREWING, KACHASU",,"FIREWOOD, CHARCOAL SELLING",,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10101706,farming,,,,,,yes,1/4,RURAL AREAS,farming,,,,no,,,,,,no,,,,,,,,
10102004,farming,,,,,,yes,1/4,RURAL AREAS,farming,,,,no,,,,,,no,,,,,,,,
10102379,farming,,"BEER BREWING, KACHASU",,,,yes,ALMOST NONE,RURAL AREAS,farming,,,,yes,RURAL AREAS,OTHER (SPECIFY),BUILDING HOUSES,,,no,,,,,,,,
10102621,farming,,,,,,no,,,,,,,no,,,,,,no,,,,,,,,
