case_id,visit,ea_id,ag_j00,ag_j03,ag_j05a,ag_j05b,ag_j05b_os,ag_j05c,ag_j06d_os
101012150001,2,10101215,,,,,,,
101012150004,2,10101215,,,,,,,
101012150021,2,10101215,,,,,,,
101012150022,2,10101215,,,,,,,
101012150026,2,10101215,,,,,,,
101012150028,2,10101215,,,,,,,
101012150034,2,10101215,,,,,,,
101012150038,2,10101215,,,,,,,
101012150040,2,10101215,,,,,,,
101012150045,2,10101215,,,,,,,
101012150048,2,10101215,,,,,,,
101012150049,2,10101215,,,,,,,
101012150053,2,10101215,,,,,,,
101012150059,2,10101215,,,,,,,
101012150060,2,10101215,,,,,,,
101012150074,2,10101215,D1,TANAPOSI,.25,acre,,.050000001,
101017060006,1,10101706,,,,,,,
101017060007,1,10101706,,,,,,,
101017060011,1,10101706,,,,,,,
101017060015,1,10101706,,,,,,,
101017060022,1,10101706,,,,,,,
101017060026,1,10101706,,,,,,,
101017060030,1,10101706,,,,,,,
101017060033,1,10101706,,,,,,,
101017060041,1,10101706,,,,,,,
101017060048,1,10101706,,,,,,,
101017060052,1,10101706,,,,,,,
101017060059,1,10101706,,,,,,,
101017060063,1,10101706,,,,,,,
101017060067,1,10101706,,,,,,,
101017060074,1,10101706,,,,,,,
101013740013,1,10101374,,,,,,,
101013740020,1,10101374,,,,,,,
101013740028,1,10101374,,,,,,,
101013740035,1,10101374,,,,,,,
101013740050,1,10101374,,,,,,,
101013740057,1,10101374,,,,,,,
101013740064,1,10101374,,,,,,,
101013740072,1,10101374,,,,,,,
101013740094,1,10101374,,,,,,,
101013740101,1,10101374,,,,,,,
101013740108,1,10101374,,,,,,,
101013740123,1,10101374,,,,,,,
101013740130,1,10101374,,,,,,,
101013740138,1,10101374,,,,,,,
101013740152,1,10101374,,,,,,,
101012190012,1,10101219,,,,,,,
101012190018,1,10101219,,,,,,,
101012190025,1,10101219,,,,,,,
101012190032,1,10101219,,,,,,,
101012190045,1,10101219,,,,,,,
101012190052,1,10101219,,,,,,,
101012190059,1,10101219,,,,,,,
101012190065,1,10101219,,,,,,,
101012190079,1,10101219,,,,,,,
101012190086,1,10101219,,,,,,,
101012190092,1,10101219,,,,,,,
101012190099,1,10101219,,,,,,,
101012190112,1,10101219,,,,,,,
101012190119,1,10101219,,,,,,,
101012190126,1,10101219,,,,,,,
101012190139,1,10101219,,,,,,,
101014700012,1,10101470,,,,,,,
101014700026,1,10101470,,,,,,,
101014700029,1,10101470,,,,,,,
101014700032,1,10101470,,,,,,,
101014700034,1,10101470,,,,,,,
101014700055,1,10101470,,,,,,,
101014700079,1,10101470,,,,,,,
101014700128,1,10101470,,,,,,,
101014700135,1,10101470,,,,,,,
101014700148,1,10101470,,,,,,,
101014700156,1,10101470,,,,,,,
101014700200,1,10101470,,,,,,,
101014700214,1,10101470,,,,,,,
101014700224,1,10101470,,,,,,,
101014700227,1,10101470,,,,,,,
101014700248,1,10101470,,,,,,,
101015620009,2,10101562,,,,,,,
101015620020,2,10101562,,,,,,,
101015620031,2,10101562,,,,,,,
101015620042,2,10101562,,,,,,,
101015620053,2,10101562,,,,,,,
101015620064,2,10101562,,,,,,,
