case_id,visit,ea_id,hh_f01,hh_f02,hh_f03a,hh_f03b,hh_f04a,hh_f04b,hh_f05,hh_f06,hh_f07,hh_f07_os,hh_f08,hh_f08_os,hh_f09,hh_f09_os,hh_f10,hh_f11,hh_f11_os,hh_f12,hh_f12_os,hh_f13,hh_f14,hh_f15,hh_f15_os,hh_f16a,hh_f16b,hh_f17,hh_f18,hh_f19,hh_f20a,hh_f20a_os,hh_f20b,hh_f20b_os,hh_f21,hh_f22,hh_f23,hh_f24,hh_f25,hh_f26a,hh_f26b,hh_f27,hh_f28,hh_f29,hh_f30,hh_f31,hh_f32,hh_f33a,hh_f33b,hh_f34,hh_f35,hh_f36,hh_f36_os,hh_f37,hh_f38a,hh_f38b,hh_f39,hh_f40,hh_f41,hh_f41_os,hh_f42,hh_f43,hh_f43_os,hh_f44,hh_f45,hh_f46,hh_f47
101010160009,1,10101016,Owned,10000,4000,Month,,,5,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,50,30,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
101010160033,1,10101016,Owned,15000,150,Month,,,25,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,5,Minute,None,200,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,15,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,Yes,No,
101010160060,1,10101016,Owned,80000,1000,Month,,,5,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,6,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,500,No,,,,,,,,,,,,No,,,,No,,,,1,300,Communal standpipe,,100,10,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for some children under five"
101010160068,1,10101016,Owned,20000,500,Month,,,4,Traditional,Mud,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,100,20,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,No,Yes,"Yes, for all children under five"
101010160069,1,10101016,Owned,20000,400,Month,,,Don't Know,Traditional,Mud brick,,Grass,,Smoothed mud,,2,Battery/dry cell,,Collected firewood,,,,Own woodlot,,5,Minute,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,20,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,No,
101010160070,1,10101016,Owned,20000,500,Month,,,7,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,5,Minute,None,400,No,,,,,,,,,,,,No,,,,No,,,,4,1500,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,No,
101010160074,1,10101016,Owned,40000,1500,Month,,,4,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,4,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,500,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,20,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
101010160086,1,10101016,Employer provides,,150,Month,,,Don't Know,Permanent,Concrete,,Iron sheets,,Smooth cement,,5,Parrafin,,Puchased firewood,,,Yes,Unfarmed areas of community,,20,Minute,Almost all,200,No,,,,,,,,,,,,No,,,,No,,,,1,480,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish bin,,Yes,Yes,Yes,"Yes, for all children under five"
101010160096,1,10101016,Owned,15000,2000,Month,,,5,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,50,10,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,No,,,
101010160143,1,10101016,Owned,25000,300,Month,,,10,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,15,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,10,Minute,All year around,,Traditional latrine with roof,,Other households also,None,,Yes,Yes,Yes,"Yes, for all children under five"
