case_id,visit,ea_id,hh_g09,hh_g10a,hh_g10b,hh_g10c,hh_g11
101010160009,1,10101016,Yes,A,Children 0-5 years,7,7
101010160009,1,10101016,Yes,B,Children 6-15 years,0,0
101010160009,1,10101016,Yes,C,Adults 16-65 years,0,0
101010160009,1,10101016,Yes,D,People over 66 years old,0,0
101010160033,1,10101016,No,,,,
101010160060,1,10101016,Yes,A,Children 0-5 years,2,2
101010160060,1,10101016,Yes,B,Children 6-15 years,3,2
101010160060,1,10101016,Yes,C,Adults 16-65 years,0,0
101010160060,1,10101016,Yes,D,People over 66 years old,0,0
101010160068,1,10101016,Yes,A,Children 0-5 years,0,0
101010160068,1,10101016,Yes,B,Children 6-15 years,0,0
101010160068,1,10101016,Yes,C,Adults 16-65 years,4,6
101010160068,1,10101016,Yes,D,People over 66 years old,0,0
101010160069,1,10101016,Yes,A,Children 0-5 years,0,0
101010160069,1,10101016,Yes,B,Children 6-15 years,0,0
101010160069,1,10101016,Yes,C,Adults 16-65 years,2,1
101010160069,1,10101016,Yes,D,People over 66 years old,0,0
101010160070,1,10101016,Yes,A,Children 0-5 years,0,0
101010160070,1,10101016,Yes,B,Children 6-15 years,1,1
101010160070,1,10101016,Yes,C,Adults 16-65 years,3,5
101010160070,1,10101016,Yes,D,People over 66 years old,0,0
101010160074,1,10101016,Yes,A,Children 0-5 years,2,1
101010160074,1,10101016,Yes,B,Children 6-15 years,1,1
101010160074,1,10101016,Yes,C,Adults 16-65 years,4,1
101010160074,1,10101016,Yes,D,People over 66 years old,0,0
101010160086,1,10101016,No,,,,
101010160096,1,10101016,No,,,,
101010160143,1,10101016,No,,,,
101010160159,1,10101016,No,,,,
101010160180,1,10101016,No,,,,
101010160207,1,10101016,No,,,,
101010160235,1,10101016,No,,,,
101010160254,1,10101016,No,,,,
101010160265,1,10101016,No,,,,
101012040003,2,10101204,No,,,,
101012040007,2,10101204,No,,,,
101012040011,2,10101204,No,,,,
101012040020,2,10101204,No,,,,
101012040024,2,10101204,No,,,,
101012040028,2,10101204,No,,,,
101012040037,2,10101204,No,,,,
101012040041,2,10101204,No,,,,
101012040045,2,10101204,Yes,A,Children 0-5 years,0,0
101012040045,2,10101204,Yes,B,Children 6-15 years,0,0
101012040045,2,10101204,Yes,C,Adults 16-65 years,2,2
101012040045,2,10101204,Yes,D,People over 66 years old,0,0
101012040054,2,10101204,No,,,,
101012040058,2,10101204,No,,,,
101012040062,2,10101204,Yes,A,Children 0-5 years,0,0
101012040062,2,10101204,Yes,B,Children 6-15 years,0,0
101012040062,2,10101204,Yes,C,Adults 16-65 years,0,0
101012040062,2,10101204,Yes,D,People over 66 years old,2,2
101012040071,2,10101204,No,,,,
101012040075,2,10101204,No,,,,
101012040079,2,10101204,Yes,A,Children 0-5 years,2,2
101012040079,2,10101204,Yes,B,Children 6-15 years,0,0
101012040079,2,10101204,Yes,C,Adults 16-65 years,0,0
101012040079,2,10101204,Yes,D,People over 66 years old,0,0
101012040087,2,10101204,No,,,,
101012150001,1,10101215,No,,,,
101012150004,1,10101215,No,,,,
101012150021,1,10101215,No,,,,
101012150022,1,10101215,Yes,A,Children 0-5 years,0,0
101012150022,1,10101215,Yes,B,Children 6-15 years,2,2
101012150022,1,10101215,Yes,C,Adults 16-65 years,2,3
101012150022,1,10101215,Yes,D,People over 66 years old,0,0
101012150026,1,10101215,Yes,A,Children 0-5 years,1,1
101012150026,1,10101215,Yes,B,Children 6-15 years,2,1
101012150026,1,10101215,Yes,C,Adults 16-65 years,1,1
101012150026,1,10101215,Yes,D,People over 66 years old,0,0
101012150028,1,10101215,No,,,,
101012150034,1,10101215,Yes,A,Children 0-5 years,0,0
101012150034,1,10101215,Yes,B,Children 6-15 years,0,0
101012150034,1,10101215,Yes,C,Adults 16-65 years,2,2
101012150034,1,10101215,Yes,D,People over 66 years old,0,0
101012150038,1,10101215,No,,,,
101012150040,1,10101215,Yes,A,Children 0-5 years,0,0
101012150040,1,10101215,Yes,B,Children 6-15 years,2,1
101012150040,1,10101215,Yes,C,Adults 16-65 years,0,0
101012150040,1,10101215,Yes,D,People over 66 years old,0,0
101012150045,1,10101215,No,,,,
101012150048,1,10101215,Yes,A,Children 0-5 years,0,0
101012150048,1,10101215,Yes,B,Children 6-15 years,7,1
101012150048,1,10101215,Yes,C,Adults 16-65 years,3,1
101012150048,1,10101215,Yes,D,People over 66 years old,0,0
101012150049,1,10101215,No,,,,
101012150053,1,10101215,Yes,A,Children 0-5 years,0,0
101012150053,1,10101215,Yes,B,Children 6-15 years,0,0
101012150053,1,10101215,Yes,C,Adults 16-65 years,3,3
101012150053,1,10101215,Yes,D,People over 66 years old,1,2
101012150059,1,10101215,No,,,,
101012150060,1,10101215,No,,,,
101012150074,1,10101215,Yes,A,Children 0-5 years,2,2
101012150074,1,10101215,Yes,B,Children 6-15 years,3,3
101012150074,1,10101215,Yes,C,Adults 16-65 years,2,2
101012150074,1,10101215,Yes,D,People over 66 years old,0,0
101012190012,1,10101219,No,,,,
101012190018,1,10101219,No,,,,
101012190025,1,10101219,Yes,A,Children 0-5 years,0,0
101012190025,1,10101219,Yes,B,Children 6-15 years,0,0
101012190025,1,10101219,Yes,C,Adults 16-65 years,1,1
101012190025,1,10101219,Yes,D,People over 66 years old,0,0
101012190032,1,10101219,No,,,,
101012190045,1,10101219,No,,,,
101012190052,1,10101219,Yes,A,Children 0-5 years,0,0
101012190052,1,10101219,Yes,B,Children 6-15 years,0,0
101012190052,1,10101219,Yes,C,Adults 16-65 years,2,2
101012190052,1,10101219,Yes,D,People over 66 years old,0,0
101012190059,1,10101219,No,,,,
101012190065,1,10101219,No,,,,
101012190079,1,10101219,No,,,,
101012190086,1,10101219,No,,,,
101012190092,1,10101219,No,,,,
101012190099,1,10101219,No,,,,
101012190112,1,10101219,No,,,,
101012190119,1,10101219,Yes,A,Children 0-5 years,0,0
101012190119,1,10101219,Yes,B,Children 6-15 years,1,1
101012190119,1,10101219,Yes,C,Adults 16-65 years,2,1
101012190119,1,10101219,Yes,D,People over 66 years old,0,0
101012190126,1,10101219,Yes,A,Children 0-5 years,2,1
101012190126,1,10101219,Yes,B,Children 6-15 years,2,2
101012190126,1,10101219,Yes,C,Adults 16-65 years,1,1
101012190126,1,10101219,Yes,D,People over 66 years old,0,0
101012190139,1,10101219,Yes,A,Children 0-5 years,2,1
101012190139,1,10101219,Yes,B,Children 6-15 years,1,2
101012190139,1,10101219,Yes,C,Adults 16-65 years,0,0
101012190139,1,10101219,Yes,D,People over 66 years old,0,0
101013550014,1,10101355,No,,,,
101013550023,1,10101355,No,,,,
101013550032,1,10101355,No,,,,
101013550042,1,10101355,No,,,,
101013550060,1,10101355,No,,,,
101013550070,1,10101355,No,,,,
101013550079,1,10101355,Yes,A,Children 0-5 years,0,0
101013550079,1,10101355,Yes,B,Children 6-15 years,2,2
101013550079,1,10101355,Yes,C,Adults 16-65 years,3,3
101013550079,1,10101355,Yes,D,People over 66 years old,0,0
101013550089,1,10101355,No,,,,
101013550107,1,10101355,No,,,,
101013550117,1,10101355,No,,,,
101013550126,1,10101355,No,,,,
101013550135,1,10101355,No,,,,
101013550154,1,10101355,No,,,,
101013550164,1,10101355,No,,,,
101013550173,1,10101355,No,,,,
101013550192,1,10101355,No,,,,
101013740006,1,10101374,No,,,,
101013740013,1,10101374,Yes,A,Children 0-5 years,0,0
101013740013,1,10101374,Yes,B,Children 6-15 years,0,0
101013740013,1,10101374,Yes,C,Adults 16-65 years,3,3
101013740013,1,10101374,Yes,D,People over 66 years old,0,0
101013740020,1,10101374,Yes,A,Children 0-5 years,1,1
101013740020,1,10101374,Yes,B,Children 6-15 years,0,0
101013740020,1,10101374,Yes,C,Adults 16-65 years,1,1
101013740020,1,10101374,Yes,D,People over 66 years old,0,0
101013740028,1,10101374,Yes,A,Children 0-5 years,0,0
101013740028,1,10101374,Yes,B,Children 6-15 years,1,2
101013740028,1,10101374,Yes,C,Adults 16-65 years,2,2
101013740028,1,10101374,Yes,D,People over 66 years old,0,0
101013740035,1,10101374,Yes,A,Children 0-5 years,0,0
101013740035,1,10101374,Yes,B,Children 6-15 years,2,2
101013740035,1,10101374,Yes,C,Adults 16-65 years,0,0
101013740035,1,10101374,Yes,D,People over 66 years old,0,0
101013740050,1,10101374,Yes,A,Children 0-5 years,0,0
101013740050,1,10101374,Yes,B,Children 6-15 years,0,0
101013740050,1,10101374,Yes,C,Adults 16-65 years,0,0
101013740050,1,10101374,Yes,D,People over 66 years old,5,15
101013740057,1,10101374,No,,,,
101013740064,1,10101374,No,,,,
101013740072,1,10101374,No,,,,
101013740094,1,10101374,No,,,,
101013740101,1,10101374,No,,,,
101013740108,1,10101374,Yes,A,Children 0-5 years,2,1
101013740108,1,10101374,Yes,B,Children 6-15 years,0,0
101013740108,1,10101374,Yes,C,Adults 16-65 years,0,0
101013740108,1,10101374,Yes,D,People over 66 years old,0,0
101013740123,1,10101374,No,,,,
101013740130,1,10101374,No,,,,
101013740138,1,10101374,Yes,A,Children 0-5 years,2,2
101013740138,1,10101374,Yes,B,Children 6-15 years,0,0
101013740138,1,10101374,Yes,C,Adults 16-65 years,1,1
101013740138,1,10101374,Yes,D,People over 66 years old,0,0
101013740152,1,10101374,No,,,,
101014700012,1,10101470,No,,,,
101014700026,1,10101470,No,,,,
101014700029,1,10101470,Yes,A,Children 0-5 years,3,2
101014700029,1,10101470,Yes,B,Children 6-15 years,3,3
101014700029,1,10101470,Yes,C,Adults 16-65 years,0,0
101014700029,1,10101470,Yes,D,People over 66 years old,0,0
101014700032,1,10101470,No,,,,
101014700034,1,10101470,No,,,,
101014700055,1,10101470,No,,,,
101014700079,1,10101470,No,,,,
101014700128,1,10101470,Yes,A,Children 0-5 years,0,0
101014700128,1,10101470,Yes,B,Children 6-15 years,2,2
101014700128,1,10101470,Yes,C,Adults 16-65 years,0,0
101014700128,1,10101470,Yes,D,People over 66 years old,0,0
101014700135,1,10101470,No,,,,
101014700148,1,10101470,No,,,,
101014700156,1,10101470,No,,,,
101014700200,1,10101470,Yes,A,Children 0-5 years,0,0
101014700200,1,10101470,Yes,B,Children 6-15 years,2,2
101014700200,1,10101470,Yes,C,Adults 16-65 years,3,3
101014700200,1,10101470,Yes,D,People over 66 years old,0,0
101014700214,1,10101470,No,,,,
101014700224,1,10101470,Yes,A,Children 0-5 years,0,0
101014700224,1,10101470,Yes,B,Children 6-15 years,0,0
101014700224,1,10101470,Yes,C,Adults 16-65 years,2,3
101014700224,1,10101470,Yes,D,People over 66 years old,0,0
101014700227,1,10101470,No,,,,
101014700248,1,10101470,No,,,,
101015620009,2,10101562,Yes,A,Children 0-5 years,0,0
101015620009,2,10101562,Yes,B,Children 6-15 years,2,2
101015620009,2,10101562,Yes,C,Adults 16-65 years,2,2
101015620009,2,10101562,Yes,D,People over 66 years old,0,0
101015620020,2,10101562,No,,,,
101015620031,2,10101562,No,,,,
101015620042,2,10101562,Yes,A,Children 0-5 years,0,0
101015620042,2,10101562,Yes,B,Children 6-15 years,1,1
101015620042,2,10101562,Yes,C,Adults 16-65 years,0,0
101015620042,2,10101562,Yes,D,People over 66 years old,0,0
101015620053,2,10101562,Yes,A,Children 0-5 years,2,2
101015620053,2,10101562,Yes,B,Children 6-15 years,0,0
101015620053,2,10101562,Yes,C,Adults 16-65 years,0,0
101015620053,2,10101562,Yes,D,People over 66 years old,0,0
101015620064,2,10101562,Yes,A,Children 0-5 years,0,0
101015620064,2,10101562,Yes,B,Children 6-15 years,0,0
