case_id,ea_id,ag_nr00,ag_nr02,ag_nr02_os,ag_nr03
101010160009,10101016,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
101010160009,10101016,N02,LOCAL MERCHANT/GROCERY,,NEAR THE DISTRICT/URBAN CENTER
101010160009,10101016,N03,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
101010160009,10101016,N04,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
101010160009,10101016,N05,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
101010160033,10101016,N01,VILLAGE HEADMAN,,NEAR THE VILLAGE
101010160033,10101016,N02,PARASTATAL ORGANIZATION,,NEAR THE TOWN
101010160033,10101016,N03,MOBILE MARKET,,WITHIN THE VILLAGE
101010160060,10101016,N01,VILLAGE HEADMAN,,NEAR THE VILLAGE
101010160060,10101016,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
101010160060,10101016,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101010160060,10101016,N04,relative,,NEAR THE VILLAGE
101010160060,10101016,N05,VDC MEMBER,,WITHIN THE VILLAGE
101010160060,10101016,N06,LOCAL MARKET,,NEAR THE TOWN
101010160068,10101016,N01,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101010160068,10101016,N02,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
101010160068,10101016,N03,VILLAGE HEADMAN,,WITHIN THE VILLAGE
101010160068,10101016,N04,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
101010160068,10101016,N05,MOBILE MARKET,,NEAR THE VILLAGE
101010160068,10101016,N06,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101010160068,10101016,N07,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101010160068,10101016,N08,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101010160068,10101016,N09,LOCAL MARKET,,OUTSIDE THE DISTRICT
101010160068,10101016,N10,LOCAL MARKET,,NEAR THE VILLAGE
101010160068,10101016,N11,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
101010160068,10101016,N12,LOCAL MARKET,,NEAR THE VILLAGE
101010160069,10101016,N01,MOBILE MARKET,,NEAR THE VILLAGE
101010160069,10101016,N02,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
101010160069,10101016,N03,LOCAL MARKET,,NEAR THE TOWN
101010160070,10101016,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
101010160070,10101016,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
101010160070,10101016,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101010160070,10101016,N04,RELIGIOUS GROUP/INSTITUTION,,WITHIN THE VILLAGE
101010160074,10101016,N01,relative,,WITHIN THE VILLAGE
101010160074,10101016,N02,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE DISTRICT/URBAN CENTER
101010160074,10101016,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101010160074,10101016,N04,FARMER BASED CLUB/ASSOCIATION,,WITHIN THE VILLAGE
101010160074,10101016,N05,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
101010160086,10101016,N01,OTHER (SPECIFY),SCHOOL,WITHIN THE VILLAGE
101010160086,10101016,N02,LOCAL MARKET,,NEAR THE VILLAGE
101010160086,10101016,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101010160086,10101016,N04,relative,,NEAR THE VILLAGE
101010160086,10101016,N05,MAIN MARKET,,OUTSIDE THE DISTRICT
101010160096,10101016,N01,OTHER (SPECIFY),UNKNOWN PERSON,NEAR THE DISTRICT/URBAN CENTER
101010160143,10101016,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
101010160143,10101016,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
101010160143,10101016,N03,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
101010160143,10101016,N04,relative,,WITHIN THE VILLAGE
101010160143,10101016,N05,PRIVATE COMPANY/BUSINESS PERSON,,OUTSIDE THE DISTRICT
101010160159,10101016,N01,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
101010160159,10101016,N02,roadside,,WITHIN THE VILLAGE
101010160159,10101016,N03,LOCAL MARKET,,NEAR THE VILLAGE
101010160180,10101016,N01,VILLAGE HEADMAN,,NEAR THE VILLAGE
