case_id,visit,ea_id,hh_q0a,hh_q0b,hh_q01,hh_q02a,hh_q02b,hh_q02c,hh_q03a,hh_q03b
101010160009,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101010160009,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1100,0,0,1,
101010160009,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101010160033,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101010160033,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101010160033,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101010160060,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101010160060,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101010160060,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,300,0,0,1,
101010160068,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101010160068,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1800,0,0,1,2
101010160068,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101010160069,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101010160069,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,Yes,0,0,3000,1,
101010160069,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,800,0,0,1,
101010160070,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101010160070,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101010160070,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101010160074,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,2000,0,0,1,2
101010160074,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,Yes,600,0,0,1,2
101010160074,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,2500,0,0,1,2
101010160086,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,1000,0,0,1,
101010160086,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101010160086,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101010160096,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101010160096,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101010160096,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101010160143,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101010160143,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1000,0,0,1,
101010160143,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101010160159,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
