case_id,visit,ea_id,ag_e0a,ag_e0c,ag_e0d,ag_e0d_os,ag_e01,ag_e02a,ag_e02b,ag_e03,ag_e04,ag_e05a,ag_e05b,ag_e06,ag_e07,ag_e07_os,ag_e08a,ag_e08b,ag_e08b_os,ag_e09,ag_e10a,ag_e10b,ag_e10b_os,ag_e10c,ag_e10c_os,ag_e10d,ag_e10e,ag_e10e_os,ag_e11,ag_e12a,ag_e12b,ag_e12b_os,ag_e13,ag_e13_os,ag_e14,ag_e15,ag_e16a,ag_e16b,ag_e17,ag_e18,ag_e19,ag_e20,ag_e21a,ag_e21b,ag_e22,ag_e23,ag_e24,ag_e25,ag_e26a,ag_e26b
101012150001,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N02,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N03,,Yes,,,,,,,,,,,
101012150001,1,10101215,Yes,1,Urea,,1,N02,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N03,,Yes,,,,,,,,,,,
101012150001,1,10101215,Yes,1,Maize seed,,1,N02,,No,,November,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,100,N03,,Yes,,,,,,,,,,,
101012150004,1,10101215,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150021,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,50,kilogram,,No,,,,,,,,,No,,,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
101012150021,1,10101215,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,50,kilogram,,No,,,,,,,,,No,,,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
101012150021,1,10101215,Yes,1,Maize seed,,1,N01,,No,,December,2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,No,,Accessible input supplier did not have the input,
101012150021,1,10101215,Yes,1,Flexi voucher,,1,N01,,No,,December,2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,No,,Accessible input supplier did not have the input,
101012150022,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N02,,No,,December,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N03,,Yes,,,,,,,,,,,
101012150022,1,10101215,Yes,1,Urea,,1,N02,,No,,December,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N03,,Yes,,,,,,,,,,,
101012150022,1,10101215,Yes,1,Maize seed,,1,N02,,No,,December,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,100,N03,,Yes,,,,,,,,,,,
101012150026,1,10101215,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150028,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N02,,Yes,,,,,,,,,,,
101012150028,1,10101215,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N02,,Yes,,,,,,,,,,,
101012150028,1,10101215,Yes,1,Maize seed,,1,N01,,No,,December,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,100,N02,,Yes,,,,,,,,,,,
101012150034,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N02,,Yes,,,,,,,,,,,
101012150034,1,10101215,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N02,,Yes,,,,,,,,,,,
101012150034,1,10101215,Yes,1,Maize seed,,1,N01,,No,,December,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,100,N02,,Yes,,,,,,,,,,,
101012150034,1,10101215,Yes,1,Flexi voucher,,1,N01,,No,,December,2009,1,Other chemical (specify),SOY BEANS SEED,1,2 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,0,N02,,Yes,,,,,,,,,,,
101012150038,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,50,kilogram,,No,,,,,,,,,Yes,25,kilogram,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
101012150038,1,10101215,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,50,kilogram,,No,,,,,,,,,Yes,25,kilogram,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
101012150040,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,50,kilogram,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
101012150040,1,10101215,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,kilogram,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
101012150045,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,50,kilogram,,No,,,,,,,,,No,,,,Bicycle Taxi,,200,500,N02,,Yes,,,,,,,,,,,
101012150045,1,10101215,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,50,kilogram,,No,,,,,,,,,No,,,,Bicycle Taxi,,200,500,N02,,Yes,,,,,,,,,,,
101012150045,1,10101215,Yes,1,Maize seed,,1,N01,,No,,December,2009,1,Maize seed,,2,kilogram,,No,,,,,,,,,No,,,,On Foot,,0,100,N02,,Yes,,,,,,,,,,,
101012150045,1,10101215,Yes,1,Flexi voucher,,1,N01,,No,,December,2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,No,,Accessible input supplier did not have the input,
101012150048,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,50,kilogram,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
101012150048,1,10101215,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,kilogram,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
101012150048,1,10101215,Yes,1,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,10,kilogram,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,400,N02,,Yes,,,,,,,,,,,
101012150049,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,50,kilogram,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
101012150049,1,10101215,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,50,kilogram,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
101012150049,1,10101215,Yes,1,Maize seed,,1,N01,,No,,December,2009,1,Maize seed,,5,kilogram,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,100,N02,,Yes,,,,,,,,,,,
101012150049,1,10101215,Yes,1,Flexi voucher,,1,N01,,No,,December,2009,1,Other chemical (specify),BEANS SEED,2,kilogram,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,0,N02,,Yes,,,,,,,,,,,
101012150053,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
101012150053,1,10101215,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
101012150053,1,10101215,Yes,1,Maize seed,,1,N01,,No,,November,2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,No,,Accessible input supplier did not have the input,
101012150059,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
101012150059,1,10101215,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
101012150059,1,10101215,Yes,1,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,100,N02,,Yes,,,,,,,,,,,
101012150060,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,Yes,1,No,,Other (Specify),
