ea_id,com_cc01,com_cc02,com_cc03,com_cc04a,com_cc04b,com_cc04c,com_cc04d,com_cc04e,com_cc04f,com_cc05a,com_cc05b,com_cc05c,com_cc05d,com_cc05e,com_cc05f,com_cc06,com_cc07a,com_cc07a_os,com_cc07b,com_cc07c,com_cc07c_os,com_cc07d,com_cc07e,com_cc07e_os,com_cc07f,com_cc08,com_cc09,com_cc09_os,com_cc10,com_cc11,com_cc12,com_cc13,com_cc14,com_cc15
10101016,MORE MOVED IN,1946,300,christian,160,none,120,traditional,20,other,100,lambya,180,tumbuka,20,father,Patrilineal and patrilocal,,300,,,,,,,54,farming,,flat,ALMOST NONE,1/4,ALMOST NONE,3/4,yes
10101204,NEITHER ARRIVALS NOR DEPARTURES,340,89,christian,70,none,19,,,lambya,87,tumbuka,2,,,father,Patrilineal and patrilocal,,89,,,,,,,8,farming,,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,no
10101215,NEITHER ARRIVALS NOR DEPARTURES,330,85,christian,60,none,25,,,lambya,70,other,10,tumbuka,5,father,Patrilineal and patrilocal,,85,,,,,,,25,farming,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,no
10101219,MORE MOVED IN,1200,230,christian,180,none,50,,,lambya,190,sukwa,20,other,20,father,Patrilineal and patrilocal,,230,,,,,,,10,farming,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
10101355,MORE MOVED IN,1200,200,christian,150,none,50,,,other,150,lambya,47,other,3,father,Patrilineal and patrilocal,,200,,,,,,,5,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
10101374,MORE MOVED IN,900,159,christian,140,none,19,,,lambya,90,other,50,other,19,father,Patrilineal and patrilocal,,159,,,,,,,25,farming,,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,ALMOST NONE,1/2,no
10101470,NEITHER ARRIVALS NOR DEPARTURES,1170,390,islam,306,none,84,,,lambya,250,tumbuka,40,other,100,father,Patrilineal and patrilocal,,390,,,,,,,60,farming,,flat,ALMOST NONE,ALMOST NONE,1/4,3/4,yes
10101562,MORE MOVED IN,2000,235,christian,219,none,16,,,lambya,200,other,20,tumbuka,15,father,Patrilineal and patrilocal,,235,,,,,,,11,farming,,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,no
10101568,MORE MOVED IN,1260,210,christian,170,none,40,,,other,140,lambya,50,other,20,father,Patrilineal and patrilocal,,210,,,,,,,25,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,1/2,yes
10101706,MORE MOVED IN,700,118,christian,116,none,2,,,lambya,21,other,97,,,father,Patrilineal and patrilocal,,118,,,,,,,5,farming,,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,ALMOST NONE,1/2,yes
10102004,MORE MOVED OUT,614,168,christian,150,traditional,14,none,4,sukwa,126,other,42,,,father,Patrilineal and patrilocal,,168,,,,,,,11,farming,,STEEPLY SLOPING,1/2,ALMOST NONE,1/4,3/4,yes
10102379,MORE MOVED IN,525,75,christian,55,none,20,,,sukwa,20,other,55,,,father,Patrilineal and patrilocal,,75,,,,,,,7,farming,,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,1/4,3/4,yes
10102621,MORE MOVED IN,1500,246,christian,220,none,26,,,sukwa,240,other,6,,,father,Patrilineal and patrilocal,,246,,,,,,,16,farming,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,1/4,3/4,yes
10103414,MORE MOVED IN,550,125,christian,100,none,25,,,lambya,75,other,50,,,father,Patrilineal and patrilocal,,125,,,,,,,11,farming,,BOTH FLAT AND HILLY,3/4,ALMOST NONE,1/4,ALMOST ALL,yes
10103452,NEITHER ARRIVALS NOR DEPARTURES,300,42,christian,42,,,,,tumbuka,5,lambya,10,other,27,father,Patrilineal and patrilocal,,42,,,,,,,2,farming,,SLIGHTLY SLOPING,3/4,ALMOST NONE,ALMOST NONE,3/4,yes
10103681,MORE MOVED IN,700,104,christian,84,none,20,,,tumbuka,104,,,,,father,Patrilineal and patrilocal,,104,,,,,,,3,farming,,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,1/4,3/4,yes
10104150,MORE MOVED IN,700,110,christian,80,none,30,,,tumbuka,110,,,,,father,Patrilineal and patrilocal,,110,,,,,,,35,farming,,BOTH FLAT AND HILLY,1/4,ALMOST NONE,ALMOST NONE,3/4,no
10104351,NEITHER ARRIVALS NOR DEPARTURES,750,126,christian,96,none,30,,,tumbuka,126,,,,,father,Patrilineal and patrilocal,,126,,,,,,,11,farming,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
10104440,MORE MOVED IN,1400,214,christian,180,none,34,,,tumbuka,210,chewa,4,,,father,Patrilineal and patrilocal,,214,,,,,,,48,farming,,BOTH FLAT AND HILLY,1/2,ALMOST NONE,1/2,1/2,no
10105352,MORE MOVED IN,1072,210,christian,170,none,40,,,other,102,other,96,other,12,father,Patrilineal and patrilocal,,210,,,,,,,106,farming,,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
10105511,MORE MOVED IN,2000,450,christian,300,none,150,,,other,150,other,275,lambya,25,father,Patrilineal and patrilocal,,450,,,,,,,70,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
10105513,MORE MOVED IN,1220,195,christian,105,traditional,10,none,80,other,130,other,55,lambya,10,father,Patrilineal and patrilocal,,195,,,,,,,30,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,no
10120286,MORE MOVED IN,2500,460,christian,440,islam,6,none,14,lambya,300,tumbuka,60,other,100,father,Patrilineal and patrilocal,,460,,,,,,,60,PLANNED HOUSING,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
10120288,MORE MOVED IN,1150,230,christian,170,none,60,,,other,120,lambya,60,other,50,father,Patrilineal and patrilocal,,230,,,,,,,60,PLANNED HOUSING,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,no
10201137,NEITHER ARRIVALS NOR DEPARTURES,1410,210,christian,150,islam,23,none,37,nkhonde,140,tumbuka,45,other,25,father,Patrilineal and patrilocal,,210,,,,,,,70,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,no
10201210,MORE MOVED IN,1300,230,christian,200,none,30,,,sukwa,170,nkhonde,35,tumbuka,25,father,Patrilineal and patrilocal,,230,,,,,,,35,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
10201247,MORE MOVED IN,750,125,christian,80,none,45,,,nkhonde,115,tumbuka,10,,,father,Patrilineal and patrilocal,,125,,,,,,,20,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
10201442,MORE MOVED IN,1150,210,christian,170,none,40,,,tumbuka,20,nyakyusa,190,,,father,Patrilineal and patrilocal,,210,,,,,,,40,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
10201688,MORE MOVED IN,875,175,christian,95,none,50,islam,30,nkhonde,120,yao,30,tumbuka,25,father,Patrilineal and patrilocal,,175,,,,,,,30,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,no
10202195,MORE MOVED IN,900,157,christian,106,none,51,,,sukwa,10,nkhonde,20,other,127,father,Patrilineal and patrilocal,,157,,,,,,,15,farming,,BOTH FLAT AND HILLY,1/4,ALMOST NONE,1/4,3/4,yes
10202514,ABOUT THE SAME OF BOTH,1393,200,christian,150,none,50,,,nyakyusa,125,other,50,nkhonde,25,father,Patrilineal and patrilocal,,200,,,,,,,45,farming,,flat,ALMOST NONE,ALMOST NONE,1/4,3/4,yes
10203013,MORE MOVED IN,300,43,christian,35,none,8,,,tumbuka,24,lambya,12,nkhonde,7,father,Patrilineal and patrilocal,,43,,,,,,,20,farming,,SLIGHTLY SLOPING,3/4,ALMOST NONE,1/2,1/2,yes
10203085,MORE MOVED IN,960,160,christian,130,none,30,,,tumbuka,140,nkhonde,20,,,father,Patrilineal and patrilocal,,160,,,,,,,25,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
10203176,MORE MOVED IN,2500,290,christian,250,none,40,,,sukwa,180,other,85,tumbuka,25,father,Patrilineal and patrilocal,,290,,,,,,,200,farming,,BOTH FLAT AND HILLY,1/4,ALMOST NONE,ALMOST NONE,3/4,yes
10203221,MORE MOVED IN,1200,300,christian,250,none,50,,,tumbuka,16,nkhonde,284,,,father,Patrilineal and patrilocal,,300,,,,,,,255,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
10203623,MORE MOVED OUT,162,27,christian,27,,,,,tumbuka,27,,,,,father,Patrilineal and patrilocal,,27,,,,,,,14,farming,,SLIGHTLY SLOPING,3/4,ALMOST NONE,ALMOST NONE,3/4,no
10203744,NEITHER ARRIVALS NOR DEPARTURES,800,130,christian,95,none,35,,,nkhonde,100,tumbuka,30,,,father,Patrilineal and patrilocal,,130,,,,,,,18,farming,,BOTH FLAT AND HILLY,1/4,ALMOST NONE,1/4,3/4,no
10204101,MORE MOVED IN,1200,300,christian,195,none,105,,,tumbuka,200,chewa,30,tonga,70,father,Patrilineal and patrilocal,,300,,,,,,,65,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
10204322,MORE MOVED IN,720,120,christian,50,none,70,,,other,30,tumbuka,75,chewa,15,father,Patrilineal and patrilocal,,120,,,,,,,60,farming,,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
10204453,MORE MOVED IN,1920,320,christian,250,none,70,,,tumbuka,200,other,90,chewa,30,father,Patrilineal and patrilocal,,320,,,,,,,60,farming,,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
10204586,NEITHER ARRIVALS NOR DEPARTURES,2000,215,christian,188,islam,7,none,20,tumbuka,200,chewa,15,,,father,Patrilineal and patrilocal,,200,Matrilineal and matrilocal (chikamwini),,15,,,,25,farming,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,1/2,yes
10204723,NEITHER ARRIVALS NOR DEPARTURES,950,220,christian,180,none,40,,,tumbuka,212,chewa,5,nkhonde,3,father,Patrilineal and patrilocal,,220,,,,,,,40,farming,,BOTH FLAT AND HILLY,1/4,ALMOST NONE,ALMOST NONE,3/4,no
10205202,ABOUT THE SAME OF BOTH,2800,470,christian,200,none,270,,,tumbuka,428,nyakyusa,30,chewa,12,father,Patrilineal and patrilocal,,458,Matrilineal and neolocal,,12,,,,100,farming,,flat,1/4,ALMOST NONE,ALMOST NONE,1/4,no
10205507,MORE MOVED IN,620,107,christian,85,none,22,,,tumbuka,93,lambya,10,nkhonde,4,father,Patrilineal and patrilocal,,107,,,,,,,25,farming,,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,ALMOST NONE,1/2,yes
10220027,MORE MOVED IN,900,180,christian,150,none,30,,,nkhonde,120,tumbuka,40,sukwa,20,father,Patrilineal and patrilocal,,180,,,,,,,35,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
10220103,MORE MOVED IN,800,198,christian,150,none,48,,,nkhonde,130,tumbuka,45,nyakyusa,23,father,Patrilineal and patrilocal,,198,,,,,,,35,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,no
10220521,MORE MOVED IN,1040,190,christian,188,none,2,,,nkhonde,163,tumbuka,6,other,21,father,Patrilineal and patrilocal,,190,,,,,,,18,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,no
10220705,MORE MOVED IN,1880,360,christian,260,islam,4,none,96,nkhonde,280,tumbuka,80,,,father,Patrilineal and patrilocal,,340,Matrilineal and neolocal,,20,,,,60,SQUATTER  SETTLEMENT,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,1/2,yes
10301026,MORE MOVED OUT,360,90,christian,90,,,,,lomwe,70,nyanja,20,,,mother,Matrilineal and matrilocal (chikamwini),,90,,,,,,,0,OTHER (SPECIFY),FOREST,BOTH FLAT AND HILLY,ALMOST ALL,ALMOST NONE,ALMOST ALL,ALMOST ALL,yes
