case_id,visit,ea_id,ag_b0a,ag_b0c,ag_b0c_os,ag_b01a,ag_b01b,ag_b02,ag_b03a,ag_b03a_os,ag_b03b,ag_b03b_os,ag_b04a,ag_b04b,ag_b04b_os,ag_b04c,ag_b05a,ag_b05b,ag_b06,ag_b07a,ag_b07b,ag_b07b_os,ag_b07c,ag_b08,ag_b09a,ag_b09b,ag_b10,ag_b11a,ag_b11b,ag_b11b_os,ag_b11c,ag_b12a,ag_b12b,ag_b12b_os,ag_b12c,ag_b13a,ag_b13b,ag_b13b_os,ag_b13c,ag_b14a,ag_b14b,ag_b14b_os,ag_b14c,ag_b15a,ag_b15b,ag_b15b_os,ag_b15c,ag_b16a,ag_b16b,ag_b16b_os,ag_b16c,ag_b16d,ag_b17a,ag_b17a_os,ag_b17b,ag_b17b_os,ag_b18,ag_b19,ag_b19_os,ag_b20a,ag_b20b,ag_b20b_os,ag_b20c,ag_b21a,ag_b21a_os,ag_b21b,ag_b21b_os,ag_b22a,ag_b22a_os,ag_b22b,ag_b22b_os,ag_b23,ag_b24a,ag_b24b,ag_b24b_os,ag_b24c,ag_b25a,ag_b25b,ag_b25b_os,ag_b25c,ag_b26,ag_b27a,ag_b27b,ag_b27b_os,ag_b27c,ag_b28a,ag_b28b,ag_b28b_os,ag_b28c,ag_b29a,ag_b29b,ag_b29b_os,ag_b29c
101012150001,1,10101215,Yes,MAIZE LOCAL,,1,Acre,No,,,,,8,50 kg bag,,Shelled,April,May,No,,,,,,,,,10,Kilogram,,S: Shelled,0,,,,5,Kilogram,,S: Shelled,0,,,,20,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,No,,,,,1,50 kg Bag,,S: Shelled,0,,,
101012150001,1,10101215,Yes,GROUNDNUT CHALIMBANA,,.25,Acre,No,,,,,1,50 kg bag,,Shelled,April,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,15,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,No,,,,,,,,,,,,,,,,,,,,,
101012150001,1,10101215,Yes,sunflower,,.25,Acre,No,,,,,6,Pail (large),,Shelled,March,March,Yes,4,Pail (large),,S: Shelled,1800,1,,0,0,,,,0,,,,0,,,,0,,,,2,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101012150004,1,10101215,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150021,1,10101215,Yes,MAIZE LOCAL,,1,Acre,No,,,,,4,90 kg bag,,Shelled,May,May,Yes,3,Pail (large),,S: Shelled,1800,2,,0,0,,,,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,4,Pail (large),,S: Shelled,No,,,,,8,Pail (large),,S: Shelled,4,Pail (large),,S: Shelled
101012150021,1,10101215,Yes,beans,,.5,Acre,No,,,,,30,Kilogram,,Shelled,April,April,Yes,10,Kilogram,,S: Shelled,400,2,,0,0,,,,0,,,,0,,,,0,,,,5,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101012150022,1,10101215,Yes,MAIZE LOCAL,,3,Acre,No,,,,,6,90 kg bag,,Shelled,May,June,No,,,,,,,,,1,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,20,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
101012150022,1,10101215,Yes,GROUNDNUT CHALIMBANA,,.5,Acre,No,,,,,15,Pail (large),,Unshelled,May,May,Yes,6,Pail (large),,U: Unshelled,2100,2,,0,1,Pail (small),,U: Unshelled,0,,,,0,,,,0,,,,20,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101012150022,1,10101215,Yes,beans,,.5,Acre,No,,,,,8,Pail (large),,Shelled,March,March,Yes,4,Pail (large),,S: Shelled,9400,2,,0,1,Pail (small),,S: Shelled,0,,,,0,,,,0,,,,20,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101012150026,1,10101215,Yes,MAIZE LOCAL,,1.5,Acre,No,,,,,6,90 kg bag,,Shelled,May,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,50 kg Bag,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
