ea_id,com_cb01,com_cb03,com_cb04,com_cb05a,com_cb05a_os,com_cb06,com_cb07,com_cb08
10101016,1,male,35,HEALTH WORKER,,2,jce,tumbuka
10101016,2,male,70,headman,,70,jce,lambya
10101016,3,male,35,SCHOOL TEACHER,,3,msce,tumbuka
10101016,4,male,29,COUNSELOR TO HEADMAN,,24,jce,lambya
10101016,5,male,32,COUNSELOR TO HEADMAN,,32,pslc,lambya
10101016,6,female,34,BUSINESS MAN/WOMAN,,30,jce,lambya
10101204,1,male,36,BUSINESS MAN/WOMAN,,36,pslc,lambya
10101204,2,male,55,SCHOOL HEADMASTER,,12,msce,tumbuka
10101204,3,male,64,headman,,64,none,lambya
10101204,4,male,68,headman,,68,none,lambya
10101204,5,male,50,COUNSELOR TO HEADMAN,,38,jce,lambya
10101204,6,female,25,BUSINESS MAN/WOMAN,,5,none,sukwa
10101215,1,male,29,BUSINESS MAN/WOMAN,,29,pslc,lambya
10101215,2,male,35,BUSINESS MAN/WOMAN,,35,pslc,lambya
10101215,3,male,81,headman,,81,none,lambya
10101215,4,male,46,headman,,46,pslc,lambya
10101215,5,male,67,COUNSELOR TO HEADMAN,,11,msce,lambya
10101215,6,female,35,SPOUSE OF HEADMAN,,35,none,lambya
10101219,1,male,35,HEALTH WORKER,,3,jce,lambya
10101219,2,female,45,BUSINESS MAN/WOMAN,,24,none,lambya
10101219,3,female,51,SCHOOL TEACHER,,19,none,lambya
10101219,4,male,77,headman,,75,none,lambya
10101219,5,male,87,headman,,63,none,lambya
10101219,6,male,63,COUNSELOR TO HEADMAN,,63,none,lambya
10101219,7,male,43,COUNSELOR TO HEADMAN,,33,none,lambya
10101219,8,male,48,headman,,48,jce,lambya
10101219,9,male,34,COUNSELOR TO HEADMAN,,34,jce,lambya
10101355,1,male,56,SCHOOL HEADMASTER,,5,jce,lambya
10101355,2,female,27,HEALTH WORKER,,1,jce,lambya
10101355,3,male,58,headman,,20,pslc,lambya
