ea_id,com_cg35,com_cg35a,com_cg35a_os,com_cg36,com_cg37
10101016,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2007,1/2
10101016,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,1/4
10101016,WORSE OFF,SHARP CHANGE IN PRICES,,2009,1/4
10101016,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUARKE,2009,ALMOST NONE
10101016,BETTER OFF,NEW SCHOOL,,2009,ALMOST ALL
10101016,BETTER OFF,NEW SCHOOL,,2007,ALMOST ALL
10101016,BETTER OFF,OTHER GOOD (SPECIFY),BOOKS WERE GIVEN AT SCHOOL,2008,ALMOST ALL
10101204,WORSE OFF,drought,,2005,3/4
10101204,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2010,ALMOST NONE
10101204,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,1/2
10101204,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/2
10101204,BETTER OFF,IMPROVED TRANSPORTATION,,2009,ALMOST ALL
10101215,WORSE OFF,SHARP CHANGE IN PRICES,,2006,1/4
10101215,WORSE OFF,OTHER BAD (SPECIFY),WHIRLWIND BLOWING,2008,ALMOST NONE
10101215,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/4
10101215,BETTER OFF,OTHER GOOD (SPECIFY),PEOPLE HARVEST ALOT OF MAIZE,2008,3/4
10101219,WORSE OFF,LIVESTOCK DISEASE,,2010,1/2
10101219,WORSE OFF,OTHER BAD (SPECIFY),WHIRLWIND OCCURED,2011,1/2
10101219,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE TOOK PLACE,2009,1/4
10101219,BETTER OFF,DEVELOPMENT PROJECT,,2010,ALMOST ALL
10101219,BETTER OFF,OTHER GOOD (SPECIFY),IRRIGATION SCHEMES WERE INTRODUCED,2009,ALMOST NONE
10101355,BETTER OFF,NEW SCHOOL,,2007,1/2
10101374,WORSE OFF,drought,,2010,ALMOST ALL
10101374,WORSE OFF,LIVESTOCK DISEASE,,2008,3/4
10101374,WORSE OFF,LIVESTOCK DISEASE,,2009,3/4
10101374,BETTER OFF,DEVELOPMENT PROJECT,,2010,3/4
10101470,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2005,ALMOST NONE
10101470,WORSE OFF,SHARP CHANGE IN PRICES,,2006,3/4
10101470,WORSE OFF,OTHER BAD (SPECIFY),FAMINE,2005,3/4
10101470,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/4
10101470,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/4
10101470,BETTER OFF,NEW SCHOOL,,2006,3/4
10101470,BETTER OFF,NEW SCHOOL,,2010,3/4
10101562,WORSE OFF,flood,,2008,ALMOST NONE
10101562,BETTER OFF,POWER OUTAGE(S),,2006,1/4
10101562,WORSE OFF,OTHER BAD (SPECIFY),WHIRLWIND,2010,1/4
10101562,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,1/4
10101562,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/4
10101562,BETTER OFF,DEVELOPMENT PROJECT,,2005,1/4
10101562,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/4
10101568,WORSE OFF,CROP DISEASE/PESTS,,2008,1/4
10101568,WORSE OFF,CROP DISEASE/PESTS,,2009,1/4
10101568,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/4
10101568,BETTER OFF,NEW SCHOOL,,2006,1/4
10101568,BETTER OFF,NEW SCHOOL,,2010,1/4
10101706,WORSE OFF,LIVESTOCK DISEASE,,2008,ALMOST ALL
10101706,WORSE OFF,LIVESTOCK DISEASE,,2009,ALMOST ALL
10101706,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2010,1/2
