case_id,visit,ea_id,hh_n09a,hh_n09b,hh_n09c,hh_n10a,hh_n10b,hh_n11,hh_n12a,hh_n12b,hh_n13a,hh_n13b,hh_n14,hh_n15a,hh_n15b,hh_n16a,hh_n16a_os,hh_n16b,hh_n16b_os,hh_n17,hh_n18,hh_n19,hh_n20a,hh_n20b,hh_n21a,hh_n21b,hh_n21c,hh_n22,hh_n23,hh_n24,hh_n24_os,hh_n25a,hh_n25b,hh_n25c,hh_n25d,hh_n25e,hh_n25f,hh_n25g,hh_n25h,hh_n25i,hh_n25j,hh_n25k,hh_n25l,hh_n25m,hh_n25n,hh_n25o,hh_n25p,hh_n25q,hh_n25r,hh_n25s,hh_n25t,hh_n25u,hh_n25v,hh_n25w,hh_n25x,hh_n25y,hh_n26a,hh_n26a_os,hh_n26b,hh_n26b_os,hh_n27,hh_n28,hh_n29a,hh_n29a_os,hh_n29b,hh_n29b_os,hh_n30a1,hh_n30a2,hh_n30a3,hh_n30a4,hh_n30b1,hh_n30b2,hh_n30b3,hh_n30b4,hh_n30c1,hh_n30c2,hh_n30c3,hh_n30c4,hh_n30d1,hh_n30d2,hh_n30d3,hh_n30d4,hh_n31a1,hh_n31a2,hh_n31a3,hh_n31a4,hh_n31b1,hh_n31b2,hh_n31b3,hh_n31b4,hh_n31c1,hh_n31c2,hh_n31c3,hh_n31c4,hh_n32,hh_n33,hh_n34,hh_n35,hh_n36,hh_n37,hh_n38,hh_n39,hh_n40,hh_n41a,hh_n41b,hh_n41c,hh_n41d,hh_n41e,hh_n41f,hh_n41g,hh_n41h
101010160009,1,10101016,1,BREWING&SELLING BEER,31,1,2,1,1,2,0,0,,4,2002,Own-savings from agriculture,,Own-savings from non-agriculture,,Traditional market place,,,Final consumers,Other small businesses,No,No,No,No,No,,,,high,high,high,average,average,average,average,low,low,low,low,low,low,,,,,,,,,,,,,,,,Yes,,,,,,1,4,8,12,2,2,4,12,,,,,,,,,0,,,,0,,,,0,,,,1200,Low sales,3000,4700,,,,,500,700,0,0,0,0,0,0,0
101010160033,1,10101016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101010160060,1,10101016,1,BAKING MANDAZI,31,4,,4,,,0,0,,1,2010,Gift from family/friends,,,,Other fixed place,No,,Final consumers,,No,No,No,No,No,,,,,,,,,,,,,average,high,low,,,,,,,,,,,,,,,,,Yes,,,,,,4,8,40,3,,,,,,,,,,,,,0,,,,0,,,,0,,,,700,Low sales,1500,2500,,,,,-350,1050,0,0,0,0,0,0,0
101010160068,1,10101016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101010160069,1,10101016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101010160070,1,10101016,1,BEER BREWER,31,2,,1,2,,0,0,,2,1985,Own-savings from agriculture,,,,Home (outside residence),,,Final consumers,,No,No,No,No,No,,,,low,low,low,low,low,low,low,low,low,high,high,high,,,,,,,,,,,,,,,,,Yes,,,,,,2,8,6,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,16000,High sales,,,,,12000,0,7200,8800,0,0,0,0,0,0,0
101010160074,1,10101016,1,BEER BREWING &SELLING,31,2,1,2,2,1,0,0,,5,2000,Own-savings from agriculture,,,,Traditional market place,,,Final consumers,Other small businesses,No,No,No,No,No,,,,low,low,low,low,average,high,high,average,high,average,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,,,,,,,,,,,,,Own-Illness/Need to care for household members,,Seasonal work,,No,Yes,,,,,2,2,6,10,4,3,3,1,5,3,3,1,6,2,3,1,0,,,,0,,,,0,,,,1400,Average sales,,,650,4000,,,890,450,0,0,0,0,0,0,0
101010160086,1,10101016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101010160096,1,10101016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101010160143,1,10101016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
