case_id,visit,ea_id,hh_s01,hh_s02,hh_s03,hh_s04,hh_s05a,hh_s05b,hh_s06,hh_s06_os,hh_s07,hh_s08a,hh_s08b,hh_s09,hh_s10a,hh_s10b,hh_s11
101010160009,1,10101016,No,,,,,,,,,,,,,,
101010160033,1,10101016,No,,,,,,,,,,,,,,
101010160060,1,10101016,No,,,,,,,,,,,,,,
101010160068,1,10101016,No,,,,,,,,,,,,,,
101010160069,1,10101016,No,,,,,,,,,,,,,,
101010160070,1,10101016,Yes,1,NBS,Bank (commercial),1,,Purchase agricultural inputs for food crops,,20000,Nov,2009,No,10,2010,22040
101010160074,1,10101016,No,,,,,,,,,,,,,,
101010160086,1,10101016,No,,,,,,,,,,,,,,
101010160096,1,10101016,No,,,,,,,,,,,,,,
101010160143,1,10101016,No,,,,,,,,,,,,,,
101010160159,1,10101016,No,,,,,,,,,,,,,,
101010160180,1,10101016,No,,,,,,,,,,,,,,
101010160207,1,10101016,No,,,,,,,,,,,,,,
101010160235,1,10101016,No,,,,,,,,,,,,,,
101010160254,1,10101016,No,,,,,,,,,,,,,,
101010160265,1,10101016,No,,,,,,,,,,,,,,
101012040003,2,10101204,No,,,,,,,,,,,,,,
101012040007,2,10101204,No,,,,,,,,,,,,,,
101012040011,2,10101204,No,,,,,,,,,,,,,,
101012040020,2,10101204,No,,,,,,,,,,,,,,
101012040024,2,10101204,No,,,,,,,,,,,,,,
101012040028,2,10101204,No,,,,,,,,,,,,,,
101012040037,2,10101204,No,,,,,,,,,,,,,,
101012040041,2,10101204,No,,,,,,,,,,,,,,
101012040045,2,10101204,No,,,,,,,,,,,,,,
101012040054,2,10101204,No,,,,,,,,,,,,,,
101012040058,2,10101204,Yes,1,KAYILA,Neighbour,1,,"Other, specify",SCHOOL FEES/EDUCATION,2000,Dec,2009,Yes,,,2000
101012040062,2,10101204,No,,,,,,,,,,,,,,
101012040071,2,10101204,Yes,1,MSUKWA,Neighbour,2,,"Other, specify",GIVE RELATIVE,6000,Apr,2010,No,8,2010,8500
101012040075,2,10101204,No,,,,,,,,,,,,,,
101012040079,2,10101204,No,,,,,,,,,,,,,,
101012040087,2,10101204,No,,,,,,,,,,,,,,
101012150001,1,10101215,No,,,,,,,,,,,,,,
101012150004,1,10101215,No,,,,,,,,,,,,,,
101012150021,1,10101215,No,,,,,,,,,,,,,,
101012150022,1,10101215,No,,,,,,,,,,,,,,
101012150026,1,10101215,No,,,,,,,,,,,,,,
101012150028,1,10101215,No,,,,,,,,,,,,,,
101012150034,1,10101215,No,,,,,,,,,,,,,,
101012150038,1,10101215,No,,,,,,,,,,,,,,
101012150040,1,10101215,No,,,,,,,,,,,,,,
101012150045,1,10101215,Yes,1,GOMEGZANI,Neighbour,1,,Consumption,,1000,Jan,2010,Yes,,,1200
101012150048,1,10101215,No,,,,,,,,,,,,,,
101012150049,1,10101215,No,,,,,,,,,,,,,,
101012150053,1,10101215,No,,,,,,,,,,,,,,
101012150059,1,10101215,No,,,,,,,,,,,,,,
101012150060,1,10101215,No,,,,,,,,,,,,,,
101012150074,1,10101215,No,,,,,,,,,,,,,,
101012190012,1,10101219,No,,,,,,,,,,,,,,
101012190018,1,10101219,No,,,,,,,,,,,,,,
101012190025,1,10101219,No,,,,,,,,,,,,,,
101012190032,1,10101219,No,,,,,,,,,,,,,,
101012190045,1,10101219,No,,,,,,,,,,,,,,
101012190052,1,10101219,No,,,,,,,,,,,,,,
101012190059,1,10101219,No,,,,,,,,,,,,,,
101012190065,1,10101219,No,,,,,,,,,,,,,,
101012190079,1,10101219,No,,,,,,,,,,,,,,
101012190086,1,10101219,No,,,,,,,,,,,,,,
101012190092,1,10101219,No,,,,,,,,,,,,,,
101012190099,1,10101219,No,,,,,,,,,,,,,,
101012190112,1,10101219,No,,,,,,,,,,,,,,
101012190119,1,10101219,No,,,,,,,,,,,,,,
101012190126,1,10101219,No,,,,,,,,,,,,,,
101012190139,1,10101219,No,,,,,,,,,,,,,,
101013550014,1,10101355,No,,,,,,,,,,,,,,
101013550023,1,10101355,No,,,,,,,,,,,,,,
101013550032,1,10101355,No,,,,,,,,,,,,,,
101013550042,1,10101355,No,,,,,,,,,,,,,,
101013550060,1,10101355,No,,,,,,,,,,,,,,
101013550070,1,10101355,No,,,,,,,,,,,,,,
101013550079,1,10101355,No,,,,,,,,,,,,,,
101013550089,1,10101355,No,,,,,,,,,,,,,,
101013550107,1,10101355,No,,,,,,,,,,,,,,
101013550117,1,10101355,No,,,,,,,,,,,,,,
101013550126,1,10101355,No,,,,,,,,,,,,,,
101013550135,1,10101355,No,,,,,,,,,,,,,,
101013550154,1,10101355,No,,,,,,,,,,,,,,
101013550164,1,10101355,No,,,,,,,,,,,,,,
101013550173,1,10101355,No,,,,,,,,,,,,,,
101013550192,1,10101355,No,,,,,,,,,,,,,,
101013740006,1,10101374,No,,,,,,,,,,,,,,
101013740013,1,10101374,No,,,,,,,,,,,,,,
101013740020,1,10101374,No,,,,,,,,,,,,,,
101013740028,1,10101374,No,,,,,,,,,,,,,,
101013740035,1,10101374,No,,,,,,,,,,,,,,
101013740050,1,10101374,No,,,,,,,,,,,,,,
101013740057,1,10101374,Yes,1,RULAL FINANCE,Mrfc,1,,Purchase agricultural inputs for food crops,,60000,Nov,2009,No,11,2010,90000
101013740064,1,10101374,No,,,,,,,,,,,,,,
101013740072,1,10101374,No,,,,,,,,,,,,,,
101013740094,1,10101374,No,,,,,,,,,,,,,,
101013740101,1,10101374,No,,,,,,,,,,,,,,
101013740108,1,10101374,No,,,,,,,,,,,,,,
101013740123,1,10101374,Yes,1,MALAWI RURAL FINANCE,Mrfc,1,,Purchase inputs for tobacco,,292710,Nov,2009,No,11,2010,330000
101013740130,1,10101374,No,,,,,,,,,,,,,,
101013740138,1,10101374,No,,,,,,,,,,,,,,
101013740152,1,10101374,No,,,,,,,,,,,,,,
101014700012,1,10101470,No,,,,,,,,,,,,,,
101014700026,1,10101470,No,,,,,,,,,,,,,,
101014700029,1,10101470,No,,,,,,,,,,,,,,
101014700032,1,10101470,No,,,,,,,,,,,,,,
101014700034,1,10101470,No,,,,,,,,,,,,,,
101014700055,1,10101470,No,,,,,,,,,,,,,,
101014700079,1,10101470,No,,,,,,,,,,,,,,
101014700128,1,10101470,No,,,,,,,,,,,,,,
101014700135,1,10101470,Yes,1,MALAWI RURAL FINANCE,Mrfc,2,,Business start-up capital,,25000,Oct,2009,No,10,2010,28000
101014700148,1,10101470,Yes,1,CHURCH,Religious institution,1,,Consumption,,3000,Nov,2009,Yes,,,3000
101014700156,1,10101470,Yes,1,MALAWI RURAL FINANCE,Mrfc,2,,Puchase non-farm inputs,,15000,Dec,2008,Yes,,,15000
101014700200,1,10101470,No,,,,,,,,,,,,,,
101014700214,1,10101470,No,,,,,,,,,,,,,,
101014700224,1,10101470,No,,,,,,,,,,,,,,
101014700227,1,10101470,No,,,,,,,,,,,,,,
101014700248,1,10101470,No,,,,,,,,,,,,,,
101015620009,2,10101562,No,,,,,,,,,,,,,,
101015620020,2,10101562,No,,,,,,,,,,,,,,
101015620031,2,10101562,Yes,1,SCHOOL,Employer,1,,Consumption,,1000,Sep,2010,Yes,,,1000
101015620042,2,10101562,No,,,,,,,,,,,,,,
101015620053,2,10101562,No,,,,,,,,,,,,,,
101015620064,2,10101562,No,,,,,,,,,,,,,,
101015620075,2,10101562,No,,,,,,,,,,,,,,
101015620086,2,10101562,No,,,,,,,,,,,,,,
101015620096,2,10101562,No,,,,,,,,,,,,,,
101015620118,2,10101562,No,,,,,,,,,,,,,,
101015620140,2,10101562,No,,,,,,,,,,,,,,
101015620162,2,10101562,No,,,,,,,,,,,,,,
101015620184,2,10101562,Yes,1,TIYEGZE,Other (specify),1,,Puchase non-farm inputs,,60000,Sep,2010,No,11,2010,63000
101015620195,2,10101562,No,,,,,,,,,,,,,,
101015620205,2,10101562,No,,,,,,,,,,,,,,
101015620227,2,10101562,Yes,1,KAYANGE,Neighbour,1,,Consumption,,3000,Sep,2010,Yes,,,3000
101015680005,1,10101568,No,,,,,,,,,,,,,,
101015680012,1,10101568,No,,,,,,,,,,,,,,
101015680019,1,10101568,No,,,,,,,,,,,,,,
101015680026,1,10101568,Yes,1,VESSAL,Other (specify),2,,Business start-up capital,,20000,Sep,2010,No,11,2010,20000
101015680033,1,10101568,No,,,,,,,,,,,,,,
101015680046,1,10101568,No,,,,,,,,,,,,,,
101015680053,1,10101568,No,,,,,,,,,,,,,,
101015680060,1,10101568,No,,,,,,,,,,,,,,
101015680067,1,10101568,No,,,,,,,,,,,,,,
101015680081,1,10101568,No,,,,,,,,,,,,,,
101015680088,1,10101568,No,,,,,,,,,,,,,,
101015680095,1,10101568,No,,,,,,,,,,,,,,
101015680102,1,10101568,No,,,,,,,,,,,,,,
101015680116,1,10101568,No,,,,,,,,,,,,,,
101015680130,1,10101568,No,,,,,,,,,,,,,,
101015680144,1,10101568,No,,,,,,,,,,,,,,
101017060006,1,10101706,No,,,,,,,,,,,,,,
101017060007,1,10101706,No,,,,,,,,,,,,,,
101017060011,1,10101706,No,,,,,,,,,,,,,,
101017060015,1,10101706,No,,,,,,,,,,,,,,
101017060022,1,10101706,No,,,,,,,,,,,,,,
101017060026,1,10101706,No,,,,,,,,,,,,,,
101017060030,1,10101706,No,,,,,,,,,,,,,,
101017060033,1,10101706,No,,,,,,,,,,,,,,
101017060041,1,10101706,No,,,,,,,,,,,,,,
101017060045,1,10101706,No,,,,,,,,,,,,,,
101017060048,1,10101706,No,,,,,,,,,,,,,,
101017060052,1,10101706,No,,,,,,,,,,,,,,
101017060059,1,10101706,No,,,,,,,,,,,,,,
101017060063,1,10101706,No,,,,,,,,,,,,,,
101017060067,1,10101706,No,,,,,,,,,,,,,,
101017060074,1,10101706,No,,,,,,,,,,,,,,
101020040001,1,10102004,No,,,,,,,,,,,,,,
101020040008,1,10102004,No,,,,,,,,,,,,,,
101020040012,1,10102004,No,,,,,,,,,,,,,,
101020040015,1,10102004,No,,,,,,,,,,,,,,
101020040028,1,10102004,No,,,,,,,,,,,,,,
101020040031,1,10102004,No,,,,,,,,,,,,,,
101020040034,1,10102004,No,,,,,,,,,,,,,,
101020040039,1,10102004,No,,,,,,,,,,,,,,
101020040042,1,10102004,No,,,,,,,,,,,,,,
101020040059,1,10102004,No,,,,,,,,,,,,,,
101020040061,1,10102004,No,,,,,,,,,,,,,,
101020040093,1,10102004,No,,,,,,,,,,,,,,
101020040101,1,10102004,Yes,1,MULASA,Grocery/local merchant,2,,Consumption,,2000,Feb,2010,No,5,2010,2000
101020040104,1,10102004,Yes,1,MULASA,Money lender (katapila),1,,Consumption,,2000,Apr,2010,No,5,2010,3000
101020040121,1,10102004,No,,,,,,,,,,,,,,
101020040128,1,10102004,No,,,,,,,,,,,,,,
101023790001,1,10102379,No,,,,,,,,,,,,,,
101023790005,1,10102379,No,,,,,,,,,,,,,,
101023790008,1,10102379,No,,,,,,,,,,,,,,
101023790012,1,10102379,No,,,,,,,,,,,,,,
101023790015,1,10102379,No,,,,,,,,,,,,,,
101023790026,1,10102379,No,,,,,,,,,,,,,,
101023790029,1,10102379,No,,,,,,,,,,,,,,
101023790033,1,10102379,No,,,,,,,,,,,,,,
101023790040,1,10102379,No,,,,,,,,,,,,,,
101023790043,1,10102379,No,,,,,,,,,,,,,,
101023790047,1,10102379,Yes,1,TIMVE NGONYA,Relative,1,,Business start-up capital,,2500,Oct,2010,No,12,2010,2500
101023790051,1,10102379,No,,,,,,,,,,,,,,
101023790058,1,10102379,No,,,,,,,,,,,,,,
101023790061,1,10102379,No,,,,,,,,,,,,,,
101023790065,1,10102379,No,,,,,,,,,,,,,,
101023790072,1,10102379,No,,,,,,,,,,,,,,
101026210012,1,10102621,No,,,,,,,,,,,,,,
101026210018,1,10102621,No,,,,,,,,,,,,,,
101026210024,1,10102621,Yes,1,WINNER KAYANGE,Relative,1,,"Other, specify",SCHOOL FEES/EDUCATION,2000,Sep,2010,Yes,,,2000
101026210030,1,10102621,No,,,,,,,,,,,,,,
101026210042,1,10102621,No,,,,,,,,,,,,,,
101026210048,1,10102621,No,,,,,,,,,,,,,,
101026210054,1,10102621,No,,,,,,,,,,,,,,
101026210061,1,10102621,Yes,1,CHIMWEMBERE CLUB,Other (specify),1,,Purchase agricultural inputs for food crops,,5000,Dec,2010,No,5,2011,6000
101026210073,1,10102621,No,,,,,,,,,,,,,,
101026210079,1,10102621,No,,,,,,,,,,,,,,
101026210085,1,10102621,No,,,,,,,,,,,,,,
101026210091,1,10102621,No,,,,,,,,,,,,,,
101026210103,1,10102621,No,,,,,,,,,,,,,,
101026210109,1,10102621,No,,,,,,,,,,,,,,
101026210115,1,10102621,No,,,,,,,,,,,,,,
101026210128,1,10102621,No,,,,,,,,,,,,,,
101034140003,2,10103414,No,,,,,,,,,,,,,,
101034140009,2,10103414,No,,,,,,,,,,,,,,
101034140020,2,10103414,No,,,,,,,,,,,,,,
101034140025,2,10103414,No,,,,,,,,,,,,,,
101034140031,2,10103414,No,,,,,,,,,,,,,,
101034140042,2,10103414,Yes,1,TINA KANYIKA,Neighbour,1,,Consumption,,500,Aug,2010,Yes,,,500
101034140047,2,10103414,No,,,,,,,,,,,,,,
101034140053,2,10103414,No,,,,,,,,,,,,,,
101034140064,2,10103414,Yes,1,KAUMBE CLUB,Ngo,1,2,Purchase agricultural inputs for food crops,,3400,Jul,2010,Yes,,,3625
101034140069,2,10103414,No,,,,,,,,,,,,,,
101034140075,2,10103414,No,,,,,,,,,,,,,,
101034140086,2,10103414,No,,,,,,,,,,,,,,
101034140091,2,10103414,No,,,,,,,,,,,,,,
101034140097,2,10103414,No,,,,,,,,,,,,,,
101034140108,2,10103414,No,,,,,,,,,,,,,,
101034140114,2,10103414,Yes,1,SICHILINDI,Neighbour,1,,Consumption,,1800,Aug,2010,Yes,,,1800
101034520001,1,10103452,No,,,,,,,,,,,,,,
101034520003,1,10103452,No,,,,,,,,,,,,,,
