position,name,type,isnumeric,format,vallab,varlab
1,HHID,int,1,%10.0g,,Assigned Unique Serial Number for IHS3 Baseline Household
2,case_id,str12,0,%12s,,IHS3 Baseline case_id as in IHS3 Public Data
3,qx_type,str7,0,%9s,,"Sample Group (Panel A, Panel B, Cross-Sectional)"
4,visit,byte,1,%9.0g,,Panel Visit
5,ea_id,str8,0,%9s,,Unique EA Identifier
6,ag_o0b,byte,1,%24.0g,T0B,CROP CODE
7,ag_o0b_os,str15,0,%15s,,Crop Code (Other Specify)
8,ag_o01,byte,1,%8.0g,T01,Did you sell any of the harvested [CROP]?
9,ag_o02a,float,1,%9.0g,,How much of the harvested[CROP]was sold in total?(QUANTITY)
10,ag_o02b,byte,1,%15.0g,T02B,How much of the harvested[CROP]was sold in total?(UNIT)
11,ag_o02b_os,str24,0,%24s,,How much of the harvest [CROP] was sold in total? (UNIT)(O/S)
12,ag_o02c,byte,1,%14.0g,T02C,How much of the harvested[CROP]was sold in total?(S/U)
13,ag_o03,long,1,%12.0g,,What was the total value of [CROP] sales?
14,ag_o11,str3,0,%9s,,Who/What was the[LARGEST BUYER/OUTLET]for your[CROP]sales?
15,ag_o12a,byte,1,%9.0g,,How much of the harvested[CROP]was sold to[LARGEST BUYER/OUTLET]?(QUANT)
16,ag_o12b,byte,1,%15.0g,T05B,How much of the harvested[CROP]was sold to[LARGEST BUYER/OUTLET]?(UNIT)
17,ag_o12b_os,str1,0,%9s,,How much of the harvested [CROP] was sold... (Unit) (other Specify)
18,ag_o12c,byte,1,%14.0g,T05C,How much of the harvested[CROP]was sold to[LARGEST BUYER/OUTLET]?(S/U)
19,ag_o13,long,1,%12.0g,,What was the total value of [CROP]sales to [LARGEST BUYER/OUTLET]?
20,ag_o14a,byte,1,%8.0g,,Who in your HH kept decided what to do with these earnings? (ID CODE #1)
21,ag_o14b,byte,1,%8.0g,,Who in your HH kept decided what to do with these earnings? (ID CODE #2)
22,ag_o15a,byte,1,%9.0g,T08A,When was most of the [CROP] sold? (MONTH)
23,ag_o15b,int,1,%9.0g,T08B,When was most of the [CROP] sold? (YEAR)
24,ag_o16,byte,1,%8.0g,,How many transactions took place while selling[CROP]to[LARGEST BUYER/OUTLET]?
25,ag_o17,byte,1,%24.0g,T10A,What was main mode of transportation associated w/[CROP]sales to [LARGEST BUYER]
26,ag_o17_os,str1,0,%9s,,What was the main mode of transportation associated with the [CROP] sales to
27,ag_o18,int,1,%12.0g,,Total cost of transportation associated w/[CROP]sales to [LARGEST BUYER]?
28,ag_o19,byte,1,%8.0g,T12,Was there another buyer/outlet to whom you sold[CROP]during [RS]?
29,ag_o20,str3,0,%9s,,Who/What was the[2ND LARGEST BUYER/OUTLET]for your[CROP]sales?
