position,name,type,isnumeric,format,vallab,varlab
1,occ,byte,1,%9.0g,,Case Section Roster / Line Occurrence Sequence for O/S Merge
2,y2_hhid,str8,0,%9s,,Unique Household Identification IHPS
3,qx_type,byte,1,%8.0g,HH_A02,"Sample Group (Panel A, Panel B)"
4,interview_status,byte,1,%24.0g,stat,Household Interview Status
5,ag_d00,str3,0,%9s,,Plot ID
6,ag_d01,byte,1,%8.0g,,"Who in the household makes the decisions concerning crops to be planted, input u"
7,ag_d01_1,byte,1,%8.0g,AG_D01_1,Are there other household members that the primary decision maker consults regar
8,ag_d01_2a,byte,1,%8.0g,,Who are the other decision makers on the [PLOT]? (1ST)
9,ag_d01_2b,byte,1,%8.0g,,Who are the other decision makers on the [PLOT]? (2ND)
10,ag_d02,byte,1,%8.0g,,ENUMERATOR: RECORD THE ID OF THE RESPONDENT.
11,ag_d03,byte,1,%24.0g,AG_D03,How did your household acquire this [PLOT]?
12,ag_d03_1,byte,1,%8.0g,AG_D03_1,Does your household currently have a title for this [PLOT]?
13,ag_d03_2a,byte,1,%8.0g,,Who in the household is listed on the title as owner of this [PLOT]? (1ST)
14,ag_d03_2b,byte,1,%8.0g,,Who in the household is listed on the title as owner of this [PLOT]? (2ND)
15,ag_d04a,byte,1,%8.0g,,Who in this household owns this [PLOT]? (1ST)
16,ag_d04b,byte,1,%8.0g,,Who in this household owns this [PLOT]? (2ND)
17,ag_d04_1,byte,1,%8.0g,AG_D04_1,Does the owner(s) have the right to sell this [PLOT] or use it as collateral?
18,ag_d04_2a,byte,1,%8.0g,,Who in the household can decide whether to sell this [PLOT] or use it as collate
19,ag_d04_2b,byte,1,%8.0g,,Who in the household can decide whether to sell this [PLOT] or use it as collate
20,ag_d04_3,byte,1,%8.0g,AG_D04_3,Have you ever been concerned that somebody might dispute your ownership of this
21,ag_d05,long,1,%12.0g,,"If you were to sell this [PLOT] today, how much could you sell it for?"
22,ag_d06,long,1,%12.0g,,"If you were to rent out this [PLOT] today for 12 months, how much could you rent"
23,ag_d10a,byte,1,%25.0g,AG_D07A,"How much output from this [PLOT] are you supposed to give as rent, if any, in th"
24,ag_d10b,byte,1,%9.0g,,"How much output from this [PLOT] are you supposed to give as rent, if any, in th"
25,ag_d10c,byte,1,%15.0g,AG_D07C,"How much output from this [PLOT] are you supposed to give as rent, if any, in th"
26,ag_d10d,byte,1,%14.0g,AG_D07D,"How much output from this [PLOT] are you supposed to give as rent, if any, in th"
27,ag_d11a,long,1,%12.0g,,How much did you already pay the owner for the use of [PLOT] in the 2012/2013 ra
28,ag_d11b,int,1,%12.0g,,How much did you already pay the owner for the use of [PLOT] in the 2012/2013 ra
29,ag_d11c,long,1,%12.0g,,How much do you still have to pay the owner for the use of [PLOT] in the 2012/20
30,ag_d11d,int,1,%12.0g,,How much do you still have to pay the owner for the use of [PLOT] in the 2012/20
31,ag_d12,byte,1,%33.0g,AG_D09,What period of time did this payment cover?
32,ag_d13a,str3,0,%9s,,Who owns this [PLOT]? (1ST)
33,ag_d13b,str3,0,%9s,,Who owns this [PLOT]? (2ND)
34,ag_d13_1a,byte,1,%8.0g,,Who in the household has the use rights to [PLOT]? (1ST)
35,ag_d13_1b,byte,1,%8.0g,,Who in the household has the use rights to [PLOT]? (2ND)
36,ag_d14,byte,1,%17.0g,AG_D11,"During the 2012/2013 rainy season, is this [PLOT]…"
37,ag_d18a,byte,1,%25.0g,AG_D12A,"How much output from this [PLOT] are you supposed to receive as rent, if any, in"
38,ag_d18b,byte,1,%9.0g,,"How much output from this [PLOT] are you supposed to receive as rent, if any, in"
39,ag_d18c,byte,1,%15.0g,AG_D12C,"How much output from this [PLOT] are you supposed to receive as rent, if any, in"
40,ag_d18d,byte,1,%14.0g,AG_D12D,"How much output from this [PLOT] are you supposed to receive as rent, if any, in"
41,ag_d19a,long,1,%12.0g,,How much did you already receive from renting out this [PLOT] in the 2012/2013 r
42,ag_d19b,int,1,%12.0g,,How much did you already receive from renting out this [PLOT] in the 2012/2013 r
43,ag_d19c,byte,1,%12.0g,,How much are you still supposed to receive from renting out this [PLOT] in the 2
44,ag_d19d,byte,1,%12.0g,,How much are you still supposed to receive from renting out this [PLOT] in the 2
45,ag_d20a,byte,1,%25.0g,AG_D14A,What crops were planted on this [PLOT] during the 2012/2013 rainy season? (1ST)
46,ag_d20b,byte,1,%25.0g,AG_D14B,What crops were planted on this [PLOT] during the 2012/2013 rainy season? (2ND)
47,ag_d20c,byte,1,%25.0g,AG_D14C,What crops were planted on this [PLOT] during the 2012/2013 rainy season? (3RD)
48,ag_d20d,byte,1,%25.0g,AG_D14D,What crops were planted on this [PLOT] during the 2012/2013 rainy season? (4TH)
49,ag_d20e,byte,1,%25.0g,AG_D14E,What crops were planted on this [PLOT] during the 2012/2013 rainy season? (5TH)
50,ag_d21,byte,1,%20.0g,AG_D15,What is the predominant soil type of this [PLOT]?
51,ag_d22,byte,1,%8.0g,AG_D16,What is the soil quality of [PLOT]?
52,ag_d23,byte,1,%10.0g,AG_D17,How would you rate the extent of erosion on this [PLOT]?
53,ag_d24a,byte,1,%15.0g,AG_D18A,What are the causes of these erosion problems? (1ST)
54,ag_d24b,byte,1,%15.0g,AG_D18B,What are the causes of these erosion problems? (2ND)
55,ag_d25a,byte,1,%21.0g,AG_D19A,What type of erosion control/water harvesting facilities were on this [PLOT]? (1
56,ag_d25b,byte,1,%21.0g,AG_D19B,What type of erosion control/water harvesting facilities were on this [PLOT]? (2
57,ag_d25_1a,byte,1,%25.0g,AG_D19_1A,When was the investment in [STRUCTURE] made? (1ST)
58,ag_d25_1b,byte,1,%25.0g,AG_D19_1B,When was the investment in [STRUCTURE] made? (2ND)
59,ag_d25_2a,byte,1,%46.0g,AG_D19_2A,What are the main reasons you have not invested in soil and water conservation s
60,ag_d25_2b,byte,1,%46.0g,AG_D19_2B,What are the main reasons you have not invested in soil and water conservation s
